,,,,,,Decisions made during the year April 2017 - March 2018,,,,,,,,,,,,,,Households accommodated by the authority on 31 March 2018,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Numbers accepted as being homeless and in priority need,,,,,,,,,,,,,,,,,,,,,,
Current ONS code,County and local authority area,,"Number of households 2014-based household interim projections for 2017
(000s) ",,,White,Black or Black British,Asian or Asian British,Mixed,Other ethnic origin,Ethnic Group not Stated,Total,"Number per 1,000 households",,"Eligible, homeless and in priority need, but intentionally","Eligible, homeless but not in priority need","Eligible, but not homeless",Total decisions,,Bed and breakfast (including shared annexe),Hostels,LA/HA stock,Private sector leased (by LA or HA),Other types (including private landlord),Total in temporary accommodation,"Number per 1,000 households",Duty owed but no accommodation has been secured at end of March 2016,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,England,,,"23,464",,"35,030","8,020","5,300","2,110","2,450","3,700","56,600",2.41,,"8,700","18,450","25,720","109,470",,"6,130","5,690","15,650","25,320","27,940","80,720",3.44,"9,560",
,London,,,"3,652",,"4,720","4,610","2,400",840,"1,120","1,780","15,470",4.24,,"2,160","3,600","4,910","26,140",,"2,590","3,160","7,720","20,620","21,360","55,440",15.18,"1,250",
,Rest of England,,,"19,812",,"30,310","3,410","2,890","1,280","1,330","1,910","41,130",2.08,,"6,540","14,850","20,810","83,330",,"3,540","2,530","7,940","4,700","6,580","25,280",1.28,"8,310",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Inner London,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000007,,Camden,,112,,37,20,25,--,--,6,94,0.84,,16,14,8,132,,22,29,15,134,195,395,3.53,36,
E09000001,,City of London,,5,,--,--,--,--,--,--,7,1.38,,--,--,5,19,,--,--,--,--,--,15,2.95,--,
E09000012,,Hackney,,118,,140,195,40,13,70,493,949,8.04,,124,105,166,"1,344",,291,747,499,195,"1,129","2,861",24.24,467,
E09000013,,Hammersmith and Fulham,,83,,95,74,29,--,30,--,249,2.99,,17,41,22,329,,146,8,244,998,6,"1,402",16.81,--,
E09000014,,Haringey,,117,,28,161,20,19,130,41,395,3.38,,68,75,289,827,,--,--,355,"1,057","1,466","2,943",25.16,5,
E09000019,,Islington,,108,,54,52,13,11,10,81,223,2.06,,29,106,95,453,,--,--,97,237,340,745,6.90,--,
E09000020,,Kensington and Chelsea,,79,,178,122,45,42,140,180,709,8.93,,91,99,147,"1,046",,227,143,--,"1,836",--,"2,235",28.15,21,
E09000022,,Lambeth,,146,,116,253,24,15,30,25,467,3.21,,62,100,43,672,,8,210,160,565,"1,158","2,101",14.43,--,
E09000023,,Lewisham,,132,,153,281,35,41,60,48,614,4.66,,76,79,304,"1,073",,96,349,289,774,436,"1,944",14.75,--,
E09000025,,Newham,,122,,232,369,411,44,40,49,"1,143",9.36,,103,204,217,"1,667",,65,43,274,"1,567","2,943","4,892",40.08,8,
E09000028,,Southwark,,136,,93,191,13,18,10,188,509,3.74,,55,393,453,"1,410",,209,328,738,340,721,"2,336",17.18,123,
E09000030,,Tower Hamlets,,129,,89,62,260,14,--,--,437,3.40,,109,15,37,598,,--,--,456,985,628,"2,201",17.11,46,
E09000032,,Wandsworth,,139,,250,204,174,43,80,67,822,5.93,,18,59,116,"1,015",,165,139,566,554,337,"1,761",12.70,123,
E09000033,,Westminster,,122,,131,104,59,25,130,8,454,3.73,,125,87,118,784,,--,--,139,207,"2,110","2,521",20.73,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Outer London,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000002,,Barking and Dagenham,,79,,155,218,92,33,10,5,512,6.51,,115,172,227,"1,026",,--,153,269,"1,444",--,"1,876",23.86,--,
E09000003,,Barnet,,154,,138,123,112,14,30,27,444,2.88,,28,98,189,759,,--,--,876,817,867,"2,579",16.70,--,
E09000004,,Bexley,,99,,313,136,17,--,20,--,500,5.04,,122,65,44,731,,124,--,--,402,690,"1,234",12.44,--,
E09000005,,Brent,,124,,80,152,64,5,50,181,536,4.32,,76,120,428,"1,160",,53,59,240,"1,331",767,"2,450",19.77,12,
E09000006,,Bromley,,141,,339,137,16,35,50,57,630,4.48,,40,122,241,"1,033",,--,--,384,229,880,"1,522",10.82,287,
E09000008,,Croydon,,160,,187,345,82,60,20,57,749,4.69,,121,194,272,"1,336",,121,5,502,295,"1,082","2,005",12.56,--,
E09000009,,Ealing,,134,,242,72,170,169,--,--,698,5.22,,91,375,125,"1,289",,344,143,223,"1,119",448,"2,277",17.01,--,
E09000010,,Enfield,,133,,306,350,47,50,20,13,786,5.89,,113,91,95,"1,085",,47,--,--,"1,260","1,969","3,276",24.57,--,
E09000011,,Greenwich,,116,,215,287,31,15,10,7,562,4.86,,65,105,110,842,,--,--,198,84,316,655,5.67,35,
E09000015,,Harrow,,93,,82,68,63,13,20,59,307,3.31,,25,50,58,440,,34,31,204,475,81,825,8.89,--,
E09000016,,Havering,,104,,202,77,24,18,--,--,330,3.19,,111,176,290,907,,--,77,179,668,--,924,8.92,16,
E09000017,,Hillingdon,,114,,82,63,52,10,30,28,264,2.32,,54,48,90,456,,10,43,140,189,151,533,4.69,12,
E09000018,,Hounslow,,108,,88,52,57,9,20,23,247,2.29,,16,14,55,332,,--,81,136,477,--,703,6.51,--,
E09000021,,Kingston upon Thames,,71,,91,14,50,--,20,--,190,2.67,,34,17,36,277,,5,45,104,417,135,706,9.91,--,
E09000024,,Merton,,85,,38,42,23,--,--,13,122,1.44,,45,47,34,248,,5,--,--,--,157,165,1.94,--,
E09000026,,Redbridge,,112,,105,120,162,23,10,81,497,4.45,,64,165,235,961,,189,128,6,"1,162",785,"2,270",20.31,--,
E09000027,,Richmond upon Thames,,86,,123,19,35,13,10,10,207,2.40,,--,--,113,334,,--,43,--,123,107,282,3.27,23,
E09000029,,Sutton,,86,,145,40,34,7,--,--,231,2.69,,52,93,47,423,,63,38,183,86,199,569,6.64,--,
E09000031,,Waltham Forest,,108,,189,207,123,33,30,7,586,5.45,,94,253,196,"1,129",,56,142,240,592,"1,205","2,235",20.77,26,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
