"","km_sq","easting","northing","Presence"
"1","NM6964",169050,764950,1
"2","NM7868",178850,768750,1
"3","NM7869",178250,769350,1
"4","NM7967",179950,767750,1
"5","NM7971",179850,771450,1
"6","NM8167",181950,767650,1
"7","NM8364",183950,764250,1
"8","NM8373",183950,773550,1
"9","NM8464",184050,764250,1
"10","NM8473",184050,773450,1
"11","NM9079",190150,779650,1
"12","NM9179",191750,779950,1
"13","NM9279",192350,779350,1
"14","NM9835",198500,735500,1
"15","NN0045",200550,745550,1
"16","NN0450",204850,750050,1
