"","km_sq","Presence","easting","northing"
"1","NF8113",0,81000,813000
"2","NG2204",0,122000,804000
"3","NG2506",0,125000,806000
"4","NG2605",0,126000,805000
"5","NG2705",0,127000,805000
"6","NG3603",0,136000,803000
"7","NG3604",0,136000,804000
"8","NG3704",0,137000,804000
"9","NG3900",0,139000,8e+05
"10","NG5113",0,151000,813000
"11","NG5414",0,154000,814000
"12","NG5706",0,157000,806000
"13","NG5800",0,158000,8e+05
"14","NG5808",0,158000,808000
"15","NG5809",0,158000,809000
"16","NG5905",0,159000,805000
"17","NG5908",0,159000,808000
"18","NG6001",0,160000,801000
"19","NG6005",0,160000,805000
"20","NG6106",0,161000,806000
"21","NG6113",0,161000,813000
"22","NG6303",0,163000,803000
"23","NG6304",0,163000,804000
"24","NG6910",0,169000,810000
"25","NG7012",0,170000,812000
"26","NG7015",0,170000,815000
"27","NG7016",0,170000,816000
"28","NG7115",0,171000,815000
"29","NG7201",0,172000,801000
"30","NG7215",0,172000,815000
"31","NG7315",0,173000,815000
"32","NG7600",0,176000,8e+05
"33","NG7714",0,177000,814000
"34","NG7813",0,178000,813000
"35","NG8112",0,181000,812000
"36","NG8117",0,181000,817000
"37","NG9904",0,199000,804000
"38","NG9913",0,199000,813000
"39","NH1301",0,213000,801000
"40","NH1501",0,215000,801000
"41","NH1909",0,219000,809000
"42","NH2002",0,220000,802000
"43","NH2110",0,221000,810000
"44","NH2210",0,222000,810000
"45","NH2211",0,222000,811000
"46","NH2212",0,222000,812000
"47","NH2302",0,223000,802000
"48","NH2402",0,224000,802000
"49","NH2801",0,228000,801000
"50","NH2912",0,229000,812000
"51","NH3214",0,232000,814000
"52","NL9340",0,93000,740000
"53","NL9344",0,93000,744000
"54","NL9345",0,93000,745000
"55","NL9346",0,93000,746000
"56","NL9440",0,94000,740000
"57","NL9442",0,94000,742000
"58","NL9444",0,94000,744000
"59","NL9445",0,94000,745000
"60","NL9540",0,95000,740000
"61","NL9541",0,95000,741000
"62","NL9545",0,95000,745000
"63","NL9546",0,95000,746000
"64","NL9547",0,95000,747000
"65","NL9639",0,96000,739000
"66","NL9640",0,96000,740000
"67","NL9641",0,96000,741000
"68","NL9642",0,96000,742000
"69","NL9643",0,96000,743000
"70","NL9644",0,96000,744000
"71","NL9646",0,96000,746000
"72","NL9738",0,97000,738000
"73","NL9740",0,97000,740000
"74","NL9741",0,97000,741000
"75","NL9742",0,97000,742000
"76","NL9743",0,97000,743000
"77","NL9745",0,97000,745000
"78","NL9747",0,97000,747000
"79","NL9838",0,98000,738000
"80","NL9839",0,98000,739000
"81","NL9841",0,98000,741000
"82","NL9842",0,98000,742000
"83","NL9843",0,98000,743000
"84","NL9845",0,98000,745000
"85","NL9847",0,98000,747000
"86","NL9943",0,99000,743000
"87","NL9944",0,99000,744000
"88","NL9945",0,99000,745000
"89","NL9946",0,99000,746000
"90","NL9947",0,99000,747000
"91","NM0043",0,1e+05,743000
"92","NM0044",0,1e+05,744000
"93","NM0045",0,1e+05,745000
"94","NM0046",0,1e+05,746000
"95","NM0143",0,101000,743000
"96","NM0144",0,101000,744000
"97","NM0145",0,101000,745000
"98","NM0146",0,101000,746000
"99","NM0147",0,101000,747000
"100","NM0244",0,102000,744000
"101","NM0245",0,102000,745000
"102","NM0247",0,102000,747000
"103","NM0248",0,102000,748000
"104","NM0343",0,103000,743000
"105","NM0345",0,103000,745000
"106","NM0346",0,103000,746000
"107","NM0347",0,103000,747000
"108","NM0348",0,103000,748000
"109","NM0444",0,104000,744000
"110","NM0445",0,104000,745000
"111","NM0448",0,104000,748000
"112","NM0449",0,104000,749000
"113","NM0548",0,105000,748000
"114","NM0747",0,107000,747000
"115","NM0749",0,107000,749000
"116","NM0750",0,107000,750000
"117","NM0847",0,108000,747000
"118","NM0848",0,108000,748000
"119","NM0849",0,108000,749000
"120","NM1253",0,112000,753000
"121","NM1353",0,113000,753000
"122","NM1453",0,114000,753000
"123","NM1454",0,114000,754000
"124","NM1552",0,115000,752000
"125","NM1553",0,115000,753000
"126","NM1554",0,115000,754000
"127","NM1556",0,115000,756000
"128","NM1653",0,116000,753000
"129","NM1654",0,116000,754000
"130","NM1655",0,116000,755000
"131","NM1656",0,116000,756000
"132","NM1754",0,117000,754000
"133","NM1756",0,117000,756000
"134","NM1757",0,117000,757000
"135","NM1758",0,117000,758000
"136","NM1854",0,118000,754000
"137","NM1858",0,118000,758000
"138","NM1959",0,119000,759000
"139","NM2055",0,120000,755000
"140","NM2060",0,120000,760000
"141","NM2156",0,121000,756000
"142","NM2157",0,121000,757000
"143","NM2159",0,121000,759000
"144","NM2161",0,121000,761000
"145","NM2256",0,122000,756000
"146","NM2257",0,122000,757000
"147","NM2258",0,122000,758000
"148","NM2362",0,123000,762000
"149","NM2463",0,124000,763000
"150","NM2563",0,125000,763000
"151","NM2622",0,126000,722000
"152","NM2723",0,127000,723000
"153","NM2741",0,127000,741000
"154","NM2742",0,127000,742000
"155","NM2763",0,127000,763000
"156","NM2764",0,127000,764000
"157","NM2823",0,128000,723000
"158","NM2824",0,128000,724000
"159","NM2841",0,128000,741000
"160","NM2842",0,128000,742000
"161","NM2843",0,128000,743000
"162","NM2943",0,129000,743000
"163","NM3021",0,130000,721000
"164","NM3023",0,130000,723000
"165","NM3119",0,131000,719000
"166","NM3120",0,131000,720000
"167","NM3219",0,132000,719000
"168","NM3235",0,132000,735000
