"","km_sq","Presence","easting","northing"
"1","NF8113",0,81500,813500
"2","NG2204",0,122500,804500
"3","NG2506",0,125500,806500
"4","NG2605",0,126500,805500
"5","NG2705",0,127500,805500
"6","NG3603",0,136500,803500
"7","NG3604",0,136500,804500
"8","NG3704",0,137500,804500
"9","NG3900",0,139500,800500
"10","NG5113",0,151500,813500
"11","NG5414",0,154500,814500
"12","NG5706",0,157500,806500
"13","NG5800",0,158500,800500
"14","NG5808",0,158500,808500
"15","NG5809",0,158500,809500
"16","NG5905",0,159500,805500
"17","NG5908",0,159500,808500
"18","NG6001",0,160500,801500
"19","NG6005",0,160500,805500
"20","NG6106",0,161500,806500
"21","NG6113",0,161500,813500
"22","NG6303",0,163500,803500
"23","NG6304",0,163500,804500
"24","NG6910",0,169500,810500
"25","NG7012",0,170500,812500
"26","NG7015",0,170500,815500
"27","NG7016",0,170500,816500
"28","NG7115",0,171500,815500
"29","NG7201",0,172500,801500
"30","NG7215",0,172500,815500
"31","NG7315",0,173500,815500
"32","NG7600",0,176500,800500
"33","NG7714",0,177500,814500
"34","NG7813",0,178500,813500
"35","NG8112",0,181500,812500
"36","NG8117",0,181500,817500
"37","NG9904",0,199500,804500
"38","NG9913",0,199500,813500
"39","NH1301",0,213500,801500
"40","NH1501",0,215500,801500
"41","NH1909",0,219500,809500
"42","NH2002",0,220500,802500
"43","NH2110",0,221500,810500
"44","NH2210",0,222500,810500
"45","NH2211",0,222500,811500
"46","NH2212",0,222500,812500
"47","NH2302",0,223500,802500
"48","NH2402",0,224500,802500
"49","NH2801",0,228500,801500
"50","NH2912",0,229500,812500
"51","NH3214",0,232500,814500
"52","NL9340",0,93500,740500
"53","NL9344",0,93500,744500
"54","NL9345",0,93500,745500
"55","NL9346",0,93500,746500
"56","NL9440",0,94500,740500
"57","NL9442",0,94500,742500
"58","NL9444",0,94500,744500
"59","NL9445",0,94500,745500
"60","NL9540",0,95500,740500
"61","NL9541",0,95500,741500
"62","NL9545",0,95500,745500
"63","NL9546",0,95500,746500
"64","NL9547",0,95500,747500
"65","NL9639",0,96500,739500
"66","NL9640",0,96500,740500
"67","NL9641",0,96500,741500
"68","NL9642",0,96500,742500
"69","NL9643",0,96500,743500
"70","NL9644",0,96500,744500
"71","NL9646",0,96500,746500
"72","NL9738",0,97500,738500
"73","NL9740",0,97500,740500
"74","NL9741",0,97500,741500
"75","NL9742",0,97500,742500
"76","NL9743",0,97500,743500
"77","NL9745",0,97500,745500
"78","NL9747",0,97500,747500
"79","NL9838",0,98500,738500
"80","NL9839",0,98500,739500
"81","NL9841",0,98500,741500
"82","NL9842",0,98500,742500
"83","NL9843",0,98500,743500
"84","NL9845",0,98500,745500
"85","NL9847",0,98500,747500
"86","NL9943",0,99500,743500
"87","NL9944",0,99500,744500
"88","NL9945",0,99500,745500
"89","NL9946",0,99500,746500
"90","NL9947",0,99500,747500
"91","NM0043",0,100500,743500
"92","NM0044",0,100500,744500
"93","NM0045",0,100500,745500
"94","NM0046",0,100500,746500
"95","NM0143",0,101500,743500
"96","NM0144",0,101500,744500
"97","NM0145",0,101500,745500
"98","NM0146",0,101500,746500
"99","NM0147",0,101500,747500
"100","NM0244",0,102500,744500
"101","NM0245",0,102500,745500
"102","NM0247",0,102500,747500
"103","NM0248",0,102500,748500
