"","km_sq","easting","northing","nR","nSpp","minyear","maxyear"
"1","NM8363",183000,763000,44,13,2000,2017
"2","NM8464",184000,764000,35,11,2000,2014
"3","NM8364",183000,764000,41,13,2000,2013
"4","NS0138",201000,638000,86,14,2000,2017
"5","NS0137",201000,637000,53,13,2000,2017
"6","NM4784",147000,784000,35,12,2000,2009
"7","NM4884",148000,784000,85,13,2000,2017
"8","NR7486",174000,686000,14,6,2000,2012
"9","NR7283",172000,683000,133,21,2000,2016
"10","NR7385",173000,685000,76,17,2000,2016
"11","NR7384",173000,684000,104,16,2000,2017
"12","NR7284",172000,684000,41,8,2000,2016
"13","NM7172",171000,772000,5,5,2000,2008
"14","NM5660",156000,760000,35,15,2000,2016
"15","NN1460",214000,760000,1,5,2000,2000
"16","NM5321",153000,721000,1,4,2000,2000
"17","NM7384",173000,784000,3,6,2000,2010
"18","NM7185",171000,785000,7,9,2000,2017
"19","NM9080",190000,780000,10,9,2000,2014
"20","NM9081",190000,781000,6,9,2000,2015
"21","NM8981",189000,781000,3,5,2000,2014
"22","NN0263",202000,763000,7,6,2000,2016
"23","NM7681",176000,781000,1,1,2000,2000
"24","NM7433",174000,733000,12,10,2000,2015
"25","NM5361",153000,761000,44,12,2000,2017
"26","NM5562",155000,762000,10,10,2000,2016
"27","NM5322",153000,722000,1,2,2000,2000
"28","NM5323",153000,723000,1,2,2000,2000
"29","NN1661",216000,761000,1,3,2000,2000
"30","NM4562",145000,762000,2,6,2000,2003
"31","NM4226",142000,726000,2,2,2000,2006
"32","NM5262",152000,762000,6,8,2000,2017
"33","NR1652",116000,652000,3,6,2000,2011
"34","NG7011",170000,811000,1,1,2000,2000
"35","NG7517",175000,817000,1,1,2000,2000
"36","NG7617",176000,817000,1,1,2000,2000
"37","NH0610",206000,810000,1,2,2000,2000
"38","NG7012",170000,812000,25,11,2000,2008
"39","NG7115",171000,815000,9,9,2000,2015
"40","NG7316",173000,816000,2,6,2000,2003
"41","NG6910",169000,810000,4,6,2000,2017
"42","NG6001",160000,801000,3,3,2000,2014
"43","NN1567",215000,767000,2,2,2000,2008
"44","NN1891",218000,791000,1,1,2000,2000
"45","NM9681",196000,781000,2,4,2000,2008
"46","NN2192",221000,792000,1,1,2000,2000
"47","NN1267",212000,767000,2,1,2000,2005
"48","NG7201",172000,801000,5,9,2000,2000
"49","NN0163",201000,763000,1,1,2000,2000
"50","NN0279",202000,779000,12,12,2000,2016
"51","NM9753",197000,753000,33,13,2000,2014
"52","NR4173",141000,673000,11,14,2000,2015
"53","NM9985",199000,785000,1,1,2000,2000
"54","NM9680",196000,780000,2,6,2000,2007
"55","NN0559",205000,759000,4,6,2000,2013
"56","NG5417",154000,817000,1,1,2000,2000
"57","NM7561",175000,761000,24,9,2000,2005
"58","NM8263",182000,763000,40,13,2000,2017
"59","NM5561",155000,761000,5,7,2000,2015
"60","NM6273",162000,773000,1,2,2000,2000
"61","NM8167",181000,767000,5,3,2000,2017
"62","NM7968",179000,768000,44,15,2000,2017
"63","NM6964",169000,764000,17,12,2000,2017
"64","NM7971",179000,771000,2,2,2000,2003
"65","NM6485",164000,785000,3,7,2000,2016
"66","NM7284",172000,784000,2,5,2000,2010
"67","NG7215",172000,815000,8,10,2000,2015
"68","NM4099",140000,799000,12,10,2000,2017
"69","NG7315",173000,815000,6,8,2000,2015
"70","NN1157",211000,757000,60,18,2000,2017
"71","NN1257",212000,757000,37,15,2000,2017
"72","NN1256",212000,756000,55,19,2000,2017
"73","NN2255",222000,755000,1,3,2000,2000
"74","NN1951",219000,751000,2,4,2000,2010
"75","NN2051",220000,751000,1,2,2000,2000
"76","NN2454",224000,754000,1,1,2000,2000
"77","NN1356",213000,756000,2,3,2000,2003
"78","NN1753",217000,753000,2,3,2000,2009
"79","NN1752",217000,752000,2,4,2000,2009
"80","NG5416",154000,816000,1,4,2000,2000
"81","NG5414",154000,814000,6,9,2000,2012
"82","NG5517",155000,817000,2,7,2000,2014
"83","NG5315",153000,815000,1,2,2000,2000
"84","NG5313",153000,813000,2,2,2000,2008
"85","NN1657",216000,757000,1,1,2000,2000
"86","NN2254",222000,754000,1,1,2000,2000
"87","NN2355",223000,755000,1,1,2000,2000
"88","NN1853",218000,753000,1,1,2000,2000
"89","NN0954",209000,754000,1,1,2000,2000
"90","NN1056",210000,756000,2,2,2000,2000
"91","NN1156",211000,756000,64,18,2000,2017
"92","NM9079",190000,779000,5,2,2000,2003
"93","NM9179",191000,779000,3,3,2000,2007
"94","NM9279",192000,779000,22,12,2000,2016
"95","NM7967",179000,767000,4,1,2000,2011
"96","NM7869",178000,769000,8,5,2000,2015
"97","NM7868",178000,768000,26,14,2000,2011
"98","NM8373",183000,773000,78,16,2000,2008
"99","NM8473",184000,773000,64,14,2000,2008
"100","NM7169",171000,769000,1,2,2000,2000
"101","NM8782",187000,782000,3,5,2000,2009
"102","NR4970",149000,670000,5,11,2000,2011
"103","NR2053",120000,653000,2,2,2000,2000
"104","NR2257",122000,657000,2,3,2000,2004
"105","NR4066",140000,666000,2,1,2000,2010
"106","NR2558",125000,658000,15,7,2000,2011
"107","NR2263",122000,663000,1,2,2000,2000
"108","NR4863",148000,663000,3,4,2000,2017
"109","NR4269",142000,669000,2,3,2000,2000
"110","NR3546",135000,646000,15,10,2000,2004
"111","NR3445",134000,645000,6,6,2000,2011
"112","NR3545",135000,645000,10,10,2000,2011
"113","NR3777",137000,677000,1,1,2000,2000
"114","NM7308",173000,708000,5,7,2000,2014
"115","NM7408",174000,708000,6,5,2000,2011
"116","NS0533",205000,633000,1,1,2000,2000
"117","NS0530",205000,630000,1,2,2000,2000
"118","NS0146",201000,646000,5,8,2000,2017
"119","NS0136",201000,636000,4,3,2000,2016
"120","NM9029",190000,729000,1,1,2000,2000
"121","NN2772",227000,772000,1,1,2000,2000
"122","NM8012",180000,712000,2,4,2000,2001
"123","NM9641",196000,741000,4,1,2000,2001
"124","NM9835",198000,735000,2,1,2000,2001
"125","NM9935",199000,735000,8,6,2000,2012
"126","NM9142",191000,742000,4,1,2000,2001
"127","NM5223",152000,723000,1,2,2000,2000
"128","NM5222",152000,722000,1,2,2000,2000
"129","NM3442",134000,742000,1,1,2000,2000
"130","NM3840",138000,740000,3,5,2000,2006
"131","NM4040",140000,740000,3,5,2000,2010
"132","NM4038",140000,738000,3,8,2000,2001
"133","NM3838",138000,738000,2,5,2000,2001
"134","NS3178",231000,678000,23,14,2000,2017
"135","NS0171",201000,671000,2,1,2000,2001
"136","NS0172",201000,672000,2,1,2000,2001
"137","NS0270",202000,670000,2,1,2000,2001
"138","NS3235",232000,635000,234,18,2000,2017
"139","NN3332",233000,732000,1,1,2000,2000
"140","NS3062",230000,662000,1,1,2000,2000
"141","NR7556",175000,656000,6,10,2000,2013
"142","NR7351",173000,651000,1,1,2000,2000
"143","NR7656",176000,656000,5,6,2000,2010
"144","NR7557",175000,657000,7,6,2000,2007
"145","NR9333",193000,633000,1,1,2000,2000
"146","NM7435",174000,735000,20,11,2000,2014
"147","NM8027",180000,727000,4,4,2000,2014
"148","NM3348",133000,748000,8,7,2000,2009
"149","NM5155",151000,755000,2,1,2000,2010
"150","NM3019",130000,719000,2,3,2000,2011
"151","NM3120",131000,720000,3,4,2000,2011
"152","NS2152",221000,652000,8,3,2000,2016
"153","NS3236",232000,636000,72,14,2000,2017
"154","NS3237",232000,637000,83,13,2000,2017
"155","NS2073",220000,673000,6,9,2000,2013
"156","NS3368",233000,668000,3,5,2000,2007
"157","NS3083",230000,683000,11,12,2000,2017
"158","NS3181",231000,681000,3,3,2000,2017
"159","NN0726",207000,726000,3,2,2000,2011
"160","NN0827",208000,727000,9,10,2000,2016
"161","NN0826",208000,726000,8,6,2000,2016
"162","NM9328",193000,728000,3,4,2000,2017
"163","NN0030",2e+05,730000,9,7,2000,2017
"164","NM9945",199000,745000,86,17,2000,2017
"165","NN0045",2e+05,745000,183,19,2000,2017
"166","NS3153",231000,653000,9,9,2000,2017
"167","NS3242",232000,642000,5,3,2000,2016
"168","NN2727",227000,727000,3,2,2000,2013
"169","NS1967",219000,667000,10,7,2000,2013
"170","NN0450",204000,750000,5,4,2000,2012
"171","NM8113",181000,713000,1,1,2000,2000
"172","NS1754",217000,654000,6,11,2000,2013
"173","NS1858",218000,658000,3,6,2000,2009
"174","NM7111",171000,711000,1,1,2000,2000
"175","NN2805",228000,705000,2,4,2000,2008
"176","NN2705",227000,705000,1,2,2000,2000
"177","NS2882",228000,682000,3,3,2000,2012
"178","NN2904",229000,704000,3,4,2000,2016
"179","NN1852",218000,752000,1,1,2000,2000
"180","NR8590",185000,690000,4,5,2000,2012
"181","NR7388",173000,688000,1,1,2000,2000
"182","NM5924",159000,724000,12,12,2000,2017
"183","NR8195",181000,695000,3,4,2000,2012
"184","NR8194",181000,694000,5,4,2000,2017
"185","NM7600",176000,7e+05,12,7,2000,2013
"186","NR7599",175000,699000,5,11,2000,2017
"187","NR7699",176000,699000,3,5,2000,2007
