"","km_sq","easting","northing","nR","nSpp","minyear","maxyear"
"1","NM8363",183000,763000,44,13,2000,2017
"2","NM8464",184000,764000,35,11,2000,2014
"3","NM8364",183000,764000,41,13,2000,2013
"4","NS0138",201000,638000,86,14,2000,2017
"5","NS0137",201000,637000,53,13,2000,2017
"6","NM4784",147000,784000,35,12,2000,2009
"7","NM4884",148000,784000,85,13,2000,2017
"8","NR7486",174000,686000,14,6,2000,2012
"9","NR7283",172000,683000,133,21,2000,2016
"10","NR7385",173000,685000,76,17,2000,2016
"11","NR7384",173000,684000,104,16,2000,2017
"12","NR7284",172000,684000,41,8,2000,2016
"13","NM7172",171000,772000,5,5,2000,2008
"14","NM5660",156000,760000,35,15,2000,2016
"15","NM7384",173000,784000,3,6,2000,2010
"16","NM7185",171000,785000,7,9,2000,2017
"17","NM9080",190000,780000,10,9,2000,2014
"18","NM9081",190000,781000,6,9,2000,2015
"19","NM8981",189000,781000,3,5,2000,2014
"20","NN0263",202000,763000,7,6,2000,2016
"21","NM7433",174000,733000,12,10,2000,2015
"22","NM5361",153000,761000,44,12,2000,2017
"23","NM5562",155000,762000,10,10,2000,2016
"24","NM5262",152000,762000,6,8,2000,2017
"25","NR1652",116000,652000,3,6,2000,2011
"26","NG7012",170000,812000,25,11,2000,2008
"27","NG7115",171000,815000,9,9,2000,2015
"28","NG6910",169000,810000,4,6,2000,2017
"29","NG6001",160000,801000,3,3,2000,2014
"30","NG7201",172000,801000,5,9,2000,2000
"31","NN0279",202000,779000,12,12,2000,2016
"32","NM9753",197000,753000,33,13,2000,2014
"33","NR4173",141000,673000,11,14,2000,2015
"34","NN0559",205000,759000,4,6,2000,2013
"35","NM7561",175000,761000,24,9,2000,2005
"36","NM8263",182000,763000,40,13,2000,2017
"37","NM5561",155000,761000,5,7,2000,2015
"38","NM8167",181000,767000,5,3,2000,2017
"39","NM7968",179000,768000,44,15,2000,2017
"40","NM6964",169000,764000,17,12,2000,2017
"41","NM6485",164000,785000,3,7,2000,2016
"42","NG7215",172000,815000,8,10,2000,2015
"43","NM4099",140000,799000,12,10,2000,2017
"44","NG7315",173000,815000,6,8,2000,2015
"45","NN1157",211000,757000,60,18,2000,2017
"46","NN1257",212000,757000,37,15,2000,2017
"47","NN1256",212000,756000,55,19,2000,2017
"48","NG5414",154000,814000,6,9,2000,2012
"49","NN1156",211000,756000,64,18,2000,2017
"50","NM9079",190000,779000,5,2,2000,2003
"51","NM9179",191000,779000,3,3,2000,2007
"52","NM9279",192000,779000,22,12,2000,2016
"53","NM7967",179000,767000,4,1,2000,2011
"54","NM7869",178000,769000,8,5,2000,2015
"55","NM7868",178000,768000,26,14,2000,2011
"56","NM8373",183000,773000,78,16,2000,2008
"57","NM8473",184000,773000,64,14,2000,2008
"58","NM8782",187000,782000,3,5,2000,2009
"59","NR4970",149000,670000,5,11,2000,2011
"60","NR2558",125000,658000,15,7,2000,2011
"61","NR4863",148000,663000,3,4,2000,2017
"62","NR3546",135000,646000,15,10,2000,2004
"63","NR3445",134000,645000,6,6,2000,2011
"64","NR3545",135000,645000,10,10,2000,2011
"65","NM7308",173000,708000,5,7,2000,2014
"66","NM7408",174000,708000,6,5,2000,2011
"67","NS0146",201000,646000,5,8,2000,2017
"68","NS0136",201000,636000,4,3,2000,2016
"69","NM9641",196000,741000,4,1,2000,2001
"70","NM9935",199000,735000,8,6,2000,2012
"71","NM9142",191000,742000,4,1,2000,2001
"72","NM3840",138000,740000,3,5,2000,2006
"73","NM4040",140000,740000,3,5,2000,2010
"74","NM4038",140000,738000,3,8,2000,2001
"75","NS3178",231000,678000,23,14,2000,2017
"76","NS3235",232000,635000,234,18,2000,2017
"77","NR7556",175000,656000,6,10,2000,2013
"78","NR7656",176000,656000,5,6,2000,2010
"79","NR7557",175000,657000,7,6,2000,2007
"80","NM7435",174000,735000,20,11,2000,2014
"81","NM8027",180000,727000,4,4,2000,2014
"82","NM3348",133000,748000,8,7,2000,2009
"83","NM3120",131000,720000,3,4,2000,2011
"84","NS2152",221000,652000,8,3,2000,2016
"85","NS3236",232000,636000,72,14,2000,2017
"86","NS3237",232000,637000,83,13,2000,2017
"87","NS2073",220000,673000,6,9,2000,2013
"88","NS3368",233000,668000,3,5,2000,2007
"89","NS3083",230000,683000,11,12,2000,2017
"90","NS3181",231000,681000,3,3,2000,2017
"91","NN0726",207000,726000,3,2,2000,2011
"92","NN0827",208000,727000,9,10,2000,2016
"93","NN0826",208000,726000,8,6,2000,2016
"94","NM9328",193000,728000,3,4,2000,2017
"95","NN0030",2e+05,730000,9,7,2000,2017
"96","NM9945",199000,745000,86,17,2000,2017
"97","NN0045",2e+05,745000,183,19,2000,2017
"98","NS3153",231000,653000,9,9,2000,2017
"99","NS3242",232000,642000,5,3,2000,2016
"100","NN2727",227000,727000,3,2,2000,2013
"101","NS1967",219000,667000,10,7,2000,2013
"102","NN0450",204000,750000,5,4,2000,2012
"103","NS1754",217000,654000,6,11,2000,2013
"104","NS1858",218000,658000,3,6,2000,2009
"105","NS2882",228000,682000,3,3,2000,2012
"106","NN2904",229000,704000,3,4,2000,2016
"107","NR8590",185000,690000,4,5,2000,2012
"108","NM5924",159000,724000,12,12,2000,2017
"109","NR8195",181000,695000,3,4,2000,2012
"110","NR8194",181000,694000,5,4,2000,2017
"111","NM7600",176000,7e+05,12,7,2000,2013
"112","NR7599",175000,699000,5,11,2000,2017
"113","NR7699",176000,699000,3,5,2000,2007
"114","NM2943",129000,743000,6,5,2000,2009
"115","NM2741",127000,741000,35,9,2000,2016
"116","NM2842",128000,742000,23,11,2000,2017
"117","NS0045",2e+05,645000,4,8,2000,2012
"118","NM5169",151000,769000,18,10,2001,2002
"119","NM5069",150000,769000,15,10,2001,2004
"120","NM6852",168000,752000,73,14,2001,2008
"121","NM6851",168000,751000,82,16,2001,2016
"122","NM6752",167000,752000,80,14,2001,2008
"123","NN1091",210000,791000,92,17,2001,2016
"124","NN1291",212000,791000,107,17,2001,2017
"125","NM7969",179000,769000,25,12,2002,2007
"126","NN2088",220000,788000,9,6,2001,2016
"127","NN2481",224000,781000,9,4,2001,2016
"128","NM5462",154000,762000,11,10,2001,2017
"129","NM5761",157000,761000,4,5,2001,2003
"130","NM6863",168000,763000,7,7,2001,2010
"131","NM5461",154000,761000,11,11,2001,2015
"132","NM6670",166000,770000,5,8,2001,2013
"133","NM4469",144000,769000,15,9,2001,2016
"134","NM5269",152000,769000,16,10,2001,2013
"135","NN2089",220000,789000,4,5,2001,2006
"136","NM9380",193000,780000,12,4,2001,2015
"137","NN0280",202000,780000,8,16,2001,2016
"138","NN0282",202000,782000,4,4,2001,2016
"139","NM9182",191000,782000,4,8,2001,2012
"140","NN1468",214000,768000,8,6,2001,2016
"141","NM9181",191000,781000,4,11,2001,2016
"142","NM8581",185000,781000,3,3,2001,2015
"143","NN1261",212000,761000,9,5,2001,2017
"144","NN1862",218000,762000,5,4,2001,2017
"145","NN1481",214000,781000,16,11,2001,2017
"146","NM5661",156000,761000,7,8,2001,2017
"147","NM5961",159000,761000,23,15,2001,2017
"148","NM5963",159000,763000,3,6,2001,2004
"149","NM9465",194000,765000,4,7,2001,2010
"150","NM4787",147000,787000,5,6,2001,2008
"151","NM4786",147000,786000,8,10,2001,2013
"152","NM4788",147000,788000,4,5,2001,2014
"153","NM7461",174000,761000,29,16,2001,2013
"154","NN1577",215000,777000,7,7,2001,2008
"155","NN1678",216000,778000,5,4,2001,2005
"156","NN0791",207000,791000,5,6,2001,2009
"157","NN0891",208000,791000,3,4,2001,2009
"158","NM8067",180000,767000,5,3,2001,2005
"159","NN1682",216000,782000,3,5,2001,2009
"160","NM4167",141000,767000,6,7,2001,2016
"161","NM6691",166000,791000,35,12,2001,2017
"162","NM4863",148000,763000,4,5,2001,2007
"163","NN0871",208000,771000,13,6,2001,2015
"164","NN0971",209000,771000,21,12,2001,2014
"165","NN0970",209000,770000,16,8,2001,2009
"166","NM7071",170000,771000,22,10,2001,2004
"167","NM7072",170000,772000,14,9,2001,2007
"168","NM8262",182000,762000,3,3,2001,2003
"169","NN0792",207000,792000,5,6,2001,2017
"170","NN1191",211000,791000,10,9,2001,2015
"171","NN1390",213000,790000,4,4,2001,2014
"172","NN2795",227000,795000,3,2,2001,2012
"173","NN1784",217000,784000,8,7,2001,2017
"174","NN1884",218000,784000,3,2,2001,2017
"175","NN1883",218000,783000,3,3,2001,2017
"176","NN1983",219000,783000,5,5,2001,2017
"177","NN1383",213000,783000,23,16,2001,2017
"178","NN1382",213000,782000,6,9,2001,2010
"179","NN1482",214000,782000,14,12,2001,2017
"180","NN1582",215000,782000,6,9,2001,2014
"181","NN1476",214000,776000,9,5,2001,2016
"182","NN2279",222000,779000,3,5,2001,2009
"183","NH2002",220000,802000,4,8,2001,2016
"184","NH2402",224000,802000,3,4,2001,2016
"185","NN1379",213000,779000,7,11,2001,2016
"186","NN1479",214000,779000,3,3,2001,2011
"187","NG7016",170000,816000,4,4,2002,2013
