,km_sq,Presence,easting,northing,X,Y,Species
1,NF8113,Absent,81500,813500,-7.261857241,57.10178626,Chequered Skipper
2,NG2204,Absent,122500,804500,-6.577404683,57.04774977,Chequered Skipper
3,NG2506,Absent,125500,806500,-6.530298654,57.06745505,Chequered Skipper
4,NG2605,Absent,126500,805500,-6.512769997,57.05909428,Chequered Skipper
5,NG2705,Absent,127500,805500,-6.496333697,57.05968642,Chequered Skipper
6,NG3603,Absent,136500,803500,-6.346281259,57.04700419,Chequered Skipper
7,NG3604,Absent,136500,804500,-6.347329736,57.05596148,Chequered Skipper
8,NG3704,Absent,137500,804500,-6.330891152,57.05653189,Chequered Skipper
9,NG3900,Absent,139500,800500,-6.293869091,57.02183462,Chequered Skipper
10,NG5113,Absent,151500,813500,-6.109618839,57.1449315,Chequered Skipper
11,NG5414,Absent,154500,814500,-6.061151257,57.1555047,Chequered Skipper
12,NG5706,Absent,157500,806500,-6.003927832,57.08541004,Chequered Skipper
13,NG5800,Absent,158500,800500,-5.98169982,57.03216712,Chequered Skipper
14,NG5808,Absent,158500,808500,-5.989396608,57.10385818,Chequered Skipper
15,NG5809,Absent,158500,809500,-5.990361236,57.11281945,Chequered Skipper
16,NG5905,Absent,159500,805500,-5.9700507,57.07749738,Chequered Skipper
17,NG5908,Absent,159500,808500,-5.972929352,57.10438189,Chequered Skipper
18,NG6001,Absent,160500,801500,-5.949780139,57.04217136,Chequered Skipper
19,NG6005,Absent,160500,805500,-5.953594738,57.07801841,Chequered Skipper
20,NG6106,Absent,161500,806500,-5.93808931,57.08749915,Chequered Skipper
21,NG6113,Absent,161500,813500,-5.944762521,57.15023166,Chequered Skipper
22,NG6303,Absent,163500,803500,-5.902338789,57.06164399,Chequered Skipper
23,NG6304,Absent,163500,804500,-5.903280879,57.07060627,Chequered Skipper
24,NG6910,Absent,169500,810500,-5.810069041,57.12742662,Chequered Skipper
25,NG7012,Absent,170500,812500,-5.795424755,57.14585354,Chequered Skipper
26,NG7015,Absent,170500,815500,-5.79818419,57.17274332,Chequered Skipper
27,NG7016,Absent,170500,816500,-5.799105078,57.18170654,Chequered Skipper
28,NG7115,Absent,171500,815500,-5.78168258,57.1732423,Chequered Skipper
29,NG7201,Absent,172500,801500,-5.752455235,57.048247,Chequered Skipper
30,NG7215,Absent,172500,815500,-5.765180433,57.17373912,Chequered Skipper
31,NG7315,Absent,173500,815500,-5.748677753,57.17423376,Chequered Skipper
32,NG7600,Absent,176500,800500,-5.685773987,57.04123866,Chequered Skipper
33,NG7714,Absent,177500,814500,-5.681769223,57.16722626,Chequered Skipper
34,NG7813,Absent,178500,813500,-5.664379868,57.15874531,Chequered Skipper
35,NG8112,Absent,181500,812500,-5.614009101,57.15121764,Chequered Skipper
36,NG8117,Absent,181500,817500,-5.618392109,57.196043,Chequered Skipper
37,NG9904,Absent,199500,804500,-5.310600118,57.0876858,Chequered Skipper
38,NG9913,Absent,199500,813500,-5.3178189,57.16839781,Chequered Skipper
39,NH1301,Absent,213500,801500,-5.077712284,57.06666096,Chequered Skipper
40,NH1501,Absent,215500,801500,-5.044778052,57.06746631,Chequered Skipper
41,NH1909,Absent,219500,809500,-4.984673109,57.14081826,Chequered Skipper
42,NH2002,Absent,220500,802500,-4.963150643,57.07841295,Chequered Skipper
43,NH2110,Absent,221500,810500,-4.952385242,57.15057087,Chequered Skipper
44,NH2210,Absent,222500,810500,-4.935879189,57.15095852,Chequered Skipper
45,NH2211,Absent,222500,811500,-4.936590638,57.15992971,Chequered Skipper
46,NH2212,Absent,222500,812500,-4.937302503,57.16890089,Chequered Skipper
47,NH2302,Absent,223500,802500,-4.913727886,57.07957271,Chequered Skipper
48,NH2402,Absent,224500,802500,-4.897252809,57.07995498,Chequered Skipper
49,NH2801,Absent,228500,801500,-4.830664511,57.07249024,Chequered Skipper
50,NH2912,Absent,229500,812500,-4.821692779,57.17155547,Chequered Skipper
51,NH3214,Absent,232500,814500,-4.77348482,57.19060544,Chequered Skipper
52,NL9340,Absent,93500,740500,-6.977086521,56.45665223,Chequered Skipper
53,NL9344,Absent,93500,744500,-6.981785133,56.49245244,Chequered Skipper
54,NL9345,Absent,93500,745500,-6.982961473,56.50140242,Chequered Skipper
55,NL9346,Absent,93500,746500,-6.98413849,56.51035237,Chequered Skipper
56,NL9440,Absent,94500,740500,-6.960922138,56.45730085,Chequered Skipper
57,NL9442,Absent,94500,742500,-6.963262547,56.47520145,Chequered Skipper
58,NL9444,Absent,94500,744500,-6.965605644,56.49310193,Chequered Skipper
59,NL9445,Absent,94500,745500,-6.966778203,56.50205213,Chequered Skipper
60,NL9540,Absent,95500,740500,-6.944757084,56.45794736,Chequered Skipper
61,NL9541,Absent,95500,741500,-6.945923179,56.4668979,Chequered Skipper
62,NL9545,Absent,95500,745500,-6.950594259,56.50269974,Chequered Skipper
63,NL9546,Absent,95500,746500,-6.951763706,56.51165012,Chequered Skipper
64,NL9547,Absent,95500,747500,-6.952933826,56.52060048,Chequered Skipper
65,NL9639,Absent,96500,739500,-6.927429708,56.449641,Chequered Skipper
66,NL9640,Absent,96500,740500,-6.928591361,56.45859178,Chequered Skipper
67,NL9641,Absent,96500,741500,-6.929753682,56.46754253,Chequered Skipper
68,NL9642,Absent,96500,742500,-6.93091667,56.47649325,Chequered Skipper
69,NL9643,Absent,96500,743500,-6.932080325,56.48544394,Chequered Skipper
70,NL9644,Absent,96500,744500,-6.93324465,56.4943946,Chequered Skipper
71,NL9646,Absent,96500,746500,-6.935575305,56.51229585,Chequered Skipper
72,NL9738,Absent,97500,738500,-6.910109874,56.44133208,Chequered Skipper
73,NL9740,Absent,97500,740500,-6.912424972,56.45923409,Chequered Skipper
74,NL9741,Absent,97500,741500,-6.913583517,56.46818506,Chequered Skipper
75,NL9742,Absent,97500,742500,-6.914742728,56.477136,Chequered Skipper
76,NL9743,Absent,97500,743500,-6.915902605,56.48608691,Chequered Skipper
77,NL9745,Absent,97500,745500,-6.918224357,56.50398864,Chequered Skipper
78,NL9747,Absent,97500,747500,-6.92054878,56.52189026,Chequered Skipper
79,NL9838,Absent,98500,738500,-6.893950364,56.44197186,Chequered Skipper
80,NL9839,Absent,98500,739500,-6.895103809,56.4509231,Chequered Skipper
81,NL9841,Absent,98500,741500,-6.897412687,56.46882549,Chequered Skipper
82,NL9842,Absent,98500,742500,-6.898568121,56.47777664,Chequered Skipper
83,NL9843,Absent,98500,743500,-6.899724218,56.48672777,Chequered Skipper
84,NL9845,Absent,98500,745500,-6.902038405,56.50462993,Chequered Skipper
