,km_sq,Presence,easting,northing,X,Y,Species
336,NM5664,Present,156500,764500,-5.980093261,56.70850065,Chequered Skipper
348,NM5961,Present,159500,761500,-5.928402555,56.68316728,Chequered Skipper
352,NM6061,Present,160500,761500,-5.912118132,56.68368057,Chequered Skipper
367,NM6356,Present,163500,756500,-5.858672636,56.64039115,Chequered Skipper
373,NM6460,Present,164500,760500,-5.846060071,56.67674903,Chequered Skipper
381,NM6551,Present,165500,751500,-5.821600009,56.5965781,Chequered Skipper
384,NM6577,Present,165500,777500,-5.845338508,56.82962966,Chequered Skipper
390,NM6651,Present,166500,751500,-5.805350803,56.59707694,Chequered Skipper
403,NM6773,Present,167500,773500,-5.808994612,56.79477957,Chequered Skipper
404,NM6774,Present,167500,774500,-5.809904894,56.80374322,Chequered Skipper
405,NM6785,Present,167500,785500,-5.819952928,56.90234186,Chequered Skipper
412,NM6864,Present,168500,764500,-5.784525518,56.71460252,Chequered Skipper
413,NM6865,Present,168500,765500,-5.785427209,56.72356653,Chequered Skipper
414,NM6867,Present,168500,767500,-5.787232156,56.7414945,Chequered Skipper
415,NM6869,Present,168500,769500,-5.789039194,56.75942238,Chequered Skipper
416,NM6872,Present,168500,772500,-5.791753678,56.78631403,Chequered Skipper
417,NM6885,Present,168500,785500,-5.803571154,56.9028422,Chequered Skipper
423,NM6950,Present,169500,750500,-5.75570947,56.58959624,Chequered Skipper
424,NM6951,Present,169500,751500,-5.756600069,56.59856073,Chequered Skipper
425,NM6964,Present,169500,764500,-5.768224764,56.71509717,Chequered Skipper
426,NM6965,Present,169500,765500,-5.769122594,56.72406135,Chequered Skipper
427,NM6966,Present,169500,766500,-5.770020943,56.73302552,Chequered Skipper
428,NM6984,Present,169500,784500,-5.786280551,56.89437665,Chequered Skipper
435,NM7050,Present,170500,750500,-5.739462025,56.59008643,Chequered Skipper
436,NM7051,Present,170500,751500,-5.740348794,56.59905109,Chequered Skipper
437,NM7064,Present,170500,764500,-5.751923491,56.71558969,Chequered Skipper
441,NM7085,Present,170500,785500,-5.77080602,56.90383644,Chequered Skipper
445,NM7151,Present,171500,751500,-5.724097007,56.59953933,Chequered Skipper
446,NM7152,Present,171500,752500,-5.724980454,56.60850414,Chequered Skipper
448,NM7167,Present,171500,767500,-5.738293567,56.74297358,Chequered Skipper
449,NM7170,Present,171500,770500,-5.740970076,56.76986687,Chequered Skipper
451,NM7178,Present,171500,778500,-5.748130219,56.84158134,Chequered Skipper
453,NM7185,Present,171500,785500,-5.754422663,56.90433035,Chequered Skipper
462,NM7264,Present,172500,764500,-5.719319397,56.71656835,Chequered Skipper
463,NM7269,Present,172500,769500,-5.723755752,56.76139156,Chequered Skipper
464,NM7272,Present,172500,772500,-5.726423736,56.78828521,Chequered Skipper
465,NM7284,Present,172500,784500,-5.737142202,56.89585786,Chequered Skipper
466,NM7285,Present,172500,785500,-5.738038783,56.90482211,Chequered Skipper
489,NM7461,Present,174500,761500,-5.684080745,56.69064332,Chequered Skipper
490,NM7462,Present,174500,762500,-5.68495774,56.6996084,Chequered Skipper
498,NM7561,Present,175500,761500,-5.667788487,56.69112471,Chequered Skipper
499,NM7568,Present,175500,768500,-5.673911078,56.75388095,Chequered Skipper
500,NM7569,Present,175500,769500,-5.67478776,56.76284604,Chequered Skipper
508,NM7669,Present,176500,769500,-5.658464077,56.7633266,Chequered Skipper
509,NM7682,Present,176500,782500,-5.669856762,56.87987291,Chequered Skipper
513,NM7754,Present,177500,754500,-5.629158475,56.62932152,Chequered Skipper
514,NM7771,Present,177500,771500,-5.643879273,56.78173579,Chequered Skipper
518,NM7849,Present,178500,749500,-5.608608633,56.58496568,Chequered Skipper
519,NM7861,Present,178500,761500,-5.618908694,56.6925561,Chequered Skipper
520,NM7868,Present,178500,768500,-5.624950134,56.75531574,Chequered Skipper
521,NM7869,Present,178500,769500,-5.625815197,56.76428132,Chequered Skipper
523,NM7871,Present,178500,771500,-5.627546827,56.78221241,Chequered Skipper
524,NM7883,Present,178500,783500,-5.637978883,56.88979713,Chequered Skipper
530,NM7967,Present,179500,767500,-5.607768125,56.74682398,Chequered Skipper
531,NM7968,Present,179500,768500,-5.608628815,56.75578974,Chequered Skipper
532,NM7969,Present,179500,769500,-5.609490004,56.76475547,Chequered Skipper
533,NM7971,Present,179500,771500,-5.611213879,56.78268689,Chequered Skipper
534,NM7982,Present,179500,782500,-5.620731009,56.88130812,Chequered Skipper
545,NM8047,Present,180500,747500,-5.574417436,56.5679728,Chequered Skipper
547,NM8062,Present,180500,762500,-5.58717352,56.70246576,Chequered Skipper
548,NM8067,Present,180500,767500,-5.59145018,56.74729568,Chequered Skipper
550,NM8082,Present,180500,782500,-5.604354747,56.88178223,Chequered Skipper
557,NM8145,Present,181500,745500,-5.556491145,56.55050613,Chequered Skipper
558,NM8146,Present,181500,746500,-5.55733332,56.55947267,Chequered Skipper
559,NM8147,Present,181500,747500,-5.55817598,56.5684392,Chequered Skipper
560,NM8161,Present,181500,761500,-5.570024419,56.69396833,Chequered Skipper
562,NM8167,Present,181500,767500,-5.575131739,56.74776525,Chequered Skipper
568,NM8246,Present,182500,746500,-5.541095205,56.5599368,Chequered Skipper
570,NM8260,Present,182500,760500,-5.552883034,56.68546843,Chequered Skipper
572,NM8263,Present,182500,763500,-5.555421424,56.71236753,Chequered Skipper
582,NM8353,Present,183500,753500,-5.530711779,56.62316623,Chequered Skipper
583,NM8363,Present,183500,763500,-5.539117468,56.7128322,Chequered Skipper
584,NM8364,Present,183500,764500,-5.539960713,56.72179868,Chequered Skipper
585,NM8373,Present,183500,773500,-5.547571926,56.80249605,Chequered Skipper
597,NM8453,Present,184500,753500,-5.514445863,56.62362721,Chequered Skipper
598,NM8461,Present,184500,761500,-5.521135722,56.6953614,Chequered Skipper
599,NM8464,Present,184500,764500,-5.523652405,56.72226138,Chequered Skipper
600,NM8473,Present,184500,773500,-5.531228734,56.80296017,Chequered Skipper
601,NM8481,Present,184500,781500,-5.537996516,56.87469098,Chequered Skipper
619,NM8581,Present,185500,781500,-5.521621672,56.87515422,Chequered Skipper
629,NM8681,Present,186500,781500,-5.505246338,56.87561531,Chequered Skipper
639,NM8761,Present,187500,761500,-5.472242662,56.69673532,Chequered Skipper
640,NM8782,Present,187500,782500,-5.489706983,56.88504099,Chequered Skipper
654,NM8942,Present,189500,742500,-5.424171517,56.52725508,Chequered Skipper
655,NM8980,Present,189500,780500,-5.455289245,56.86801866,Chequered Skipper
656,NM8981,Present,189500,781500,-5.456117417,56.87698572,Chequered Skipper
665,NM9041,Present,190500,741500,-5.407139011,56.51873364,Chequered Skipper
666,NM9042,Present,190500,742500,-5.407944894,56.52770165,Chequered Skipper
669,NM9079,Present,190500,779500,-5.438092089,56.85950379,Chequered Skipper
670,NM9080,Present,190500,780500,-5.438915878,56.86847103,Chequered Skipper
671,NM9081,Present,190500,781500,-5.439740145,56.87743824,Chequered Skipper
675,NM9129,Present,191500,729500,-5.381326893,56.41155834,Chequered Skipper
676,NM9130,Present,191500,730500,-5.382123439,56.42052675,Chequered Skipper
680,NM9136,Present,191500,736500,-5.386912344,56.4743368,Chequered Skipper
687,NM9146,Present,191500,746500,-5.394930684,56.56401857,Chequered Skipper
688,NM9179,Present,191500,779500,-5.421722147,56.85995386,Chequered Skipper
689,NM9180,Present,191500,780500,-5.422542032,56.86892124,Chequered Skipper
690,NM9181,Present,191500,781500,-5.423362393,56.87788861,Chequered Skipper
691,NM9182,Present,191500,782500,-5.424183231,56.88685595,Chequered Skipper
697,NM9243,Present,192500,743500,-5.376288959,56.53755674,Chequered Skipper
698,NM9244,Present,192500,744500,-5.377088124,56.54652501,Chequered Skipper
700,NM9247,Present,192500,747500,-5.379488382,56.57342972,Chequered Skipper
701,NM9258,Present,192500,758500,-5.388324962,56.67207873,Chequered Skipper
703,NM9279,Present,192500,779500,-5.405351728,56.86040178,Chequered Skipper
707,NM9331,Present,193500,731500,-5.350548672,56.43037443,Chequered Skipper
709,NM9340,Present,193500,740500,-5.357673853,56.51109171,Chequered Skipper
710,NM9344,Present,193500,744500,-5.360852468,56.54696553,Chequered Skipper
713,NM9364,Present,193500,764500,-5.376856039,56.72632975,Chequered Skipper
714,NM9365,Present,193500,765500,-5.377661084,56.73529775,Chequered Skipper
715,NM9380,Present,193500,780500,-5.389792914,56.86981525,Chequered Skipper
717,NM9463,Present,194500,763500,-5.359742262,56.71780296,Chequered Skipper
718,NM9464,Present,194500,764500,-5.360542973,56.72677113,Chequered Skipper
725,NM9531,Present,195500,731500,-5.318175086,56.43124527,Chequered Skipper
726,NM9532,Present,195500,732500,-5.318957356,56.44021423,Chequered Skipper
727,NM9533,Present,195500,733500,-5.319740076,56.44918317,Chequered Skipper
728,NM9544,Present,195500,744500,-5.328379782,56.54784021,Chequered Skipper
729,NM9545,Present,195500,745500,-5.329167927,56.55680891,Chequered Skipper
730,NM9560,Present,195500,760500,-5.341044841,56.69133699,Chequered Skipper
731,NM9563,Present,195500,763500,-5.343432601,56.71824206,Chequered Skipper
733,NM9631,Present,196500,731500,-5.301987618,56.43167753,Chequered Skipper
734,NM9632,Present,196500,732500,-5.302766089,56.44064664,Chequered Skipper
735,NM9633,Present,196500,733500,-5.303545008,56.44961573,Chequered Skipper
738,NM9644,Present,196500,744500,-5.312142757,56.54827438,Chequered Skipper
739,NM9661,Present,196500,761500,-5.325537911,56.70074204,Chequered Skipper
740,NM9663,Present,196500,763500,-5.32712248,56.71867903,Chequered Skipper
742,NM9679,Present,196500,779500,-5.33986534,56.86217203,Chequered Skipper
743,NM9680,Present,196500,780500,-5.340665703,56.87114017,Chequered Skipper
744,NM9689,Present,196500,789500,-5.34788994,56.95185252,Chequered Skipper
745,NM9690,Present,196500,790500,-5.34869497,56.96082046,Chequered Skipper
746,NM9692,Present,196500,792500,-5.350306437,56.97875628,Chequered Skipper
748,NM9733,Present,197500,733500,-5.287349491,56.45004617,Chequered Skipper
749,NM9738,Present,197500,738500,-5.291231771,56.49489204,Chequered Skipper
750,NM9739,Present,197500,739500,-5.292009568,56.50386115,Chequered Skipper
751,NM9744,Present,197500,744500,-5.29590528,56.54870642,Chequered Skipper
752,NM9745,Present,197500,745500,-5.29668577,56.55767541,Chequered Skipper
753,NM9753,Present,197500,753500,-5.302945923,56.62942664,Chequered Skipper
756,NM9762,Present,197500,762500,-5.310023253,56.71014523,Chequered Skipper
757,NM9763,Present,197500,763500,-5.310811899,56.71911387,Chequered Skipper
759,NM9782,Present,197500,782500,-5.325883336,56.88951404,Chequered Skipper
760,NM9791,Present,197500,791500,-5.333080688,56.97022737,Chequered Skipper
761,NM9792,Present,197500,792500,-5.333882724,56.97919542,Chequered Skipper
766,NM9830,Present,198500,730500,-5.268840913,56.4235663,Chequered Skipper
767,NM9832,Present,198500,732500,-5.270382214,56.44150512,Chequered Skipper
768,NM9833,Present,198500,733500,-5.271153529,56.45047449,Chequered Skipper
769,NM9835,Present,198500,735500,-5.272697491,56.46841319,Chequered Skipper
770,NM9844,Present,198500,744500,-5.279667353,56.54913634,Chequered Skipper
771,NM9845,Present,198500,745500,-5.280444015,56.55810548,Chequered Skipper
772,NM9853,Present,198500,753500,-5.286673464,56.62985788,Chequered Skipper
774,NM9862,Present,198500,762500,-5.293716084,56.71057779,Chequered Skipper
775,NM9891,Present,198500,791500,-5.316660441,56.97066421,Chequered Skipper
778,NM9928,Present,199500,728500,-5.251123965,56.4060529,Chequered Skipper
779,NM9929,Present,199500,729500,-5.251889716,56.4150225,Chequered Skipper
780,NM9930,Present,199500,730500,-5.252655907,56.42399208,Chequered Skipper
781,NM9931,Present,199500,731500,-5.253422538,56.43296165,Chequered Skipper
782,NM9932,Present,199500,732500,-5.25418961,56.44193119,Chequered Skipper
783,NM9933,Present,199500,733500,-5.254957123,56.45090071,Chequered Skipper
785,NM9943,Present,199500,743500,-5.262656591,56.54059485,Chequered Skipper
786,NM9944,Present,199500,744500,-5.263428979,56.54956415,Chequered Skipper
787,NM9945,Present,199500,745500,-5.264201813,56.55853343,Chequered Skipper
788,NM9946,Present,199500,746500,-5.264975092,56.5675027,Chequered Skipper
792,NM9991,Present,199500,791500,-5.300239728,56.9710989,Chequered Skipper
793,NM9992,Present,199500,792500,-5.301033897,56.98006724,Chequered Skipper
795,NN0027,Present,200500,727500,-5.23418459,56.39750652,Chequered Skipper
796,NN0028,Present,200500,728500,-5.234946109,56.40647629,Chequered Skipper
797,NN0030,Present,200500,730500,-5.236470461,56.42441576,Chequered Skipper
798,NN0031,Present,200500,731500,-5.237233294,56.43338547,Chequered Skipper
799,NN0034,Present,200500,734500,-5.239524426,56.46029447,Chequered Skipper
800,NN0044,Present,200500,744500,-5.24719016,56.54998984,Chequered Skipper
801,NN0045,Present,200500,745500,-5.247959165,56.55895927,Chequered Skipper
802,NN0046,Present,200500,746500,-5.248728613,56.56792868,Chequered Skipper
803,NN0056,Present,200500,756500,-5.256447564,56.65762167,Chequered Skipper
807,NN0092,Present,200500,792500,-5.284608788,56.98049993,Chequered Skipper
811,NN0127,Present,201500,727500,-5.218010088,56.39792767,Chequered Skipper
812,NN0129,Present,201500,729500,-5.219525978,56.41586746,Chequered Skipper
816,NN0133,Present,201500,733500,-5.222562989,56.45174681,Chequered Skipper
817,NN0146,Present,201500,746500,-5.23248169,56.56835253,Chequered Skipper
818,NN0147,Present,201500,747500,-5.233247749,56.57732206,Chequered Skipper
820,NN0178,Present,201500,778500,-5.257216539,56.85536772,Chequered Skipper
821,NN0179,Present,201500,779500,-5.257996916,56.86433661,Chequered Skipper
822,NN0181,Present,201500,781500,-5.259559033,56.88227435,Chequered Skipper
823,NN0230,Present,202500,730500,-5.204098256,56.42525679,Chequered Skipper
825,NN0233,Present,202500,733500,-5.206365266,56.4521667,Chequered Skipper
826,NN0246,Present,202500,746500,-5.216234325,56.56877427,Chequered Skipper
827,NN0247,Present,202500,747500,-5.21699655,56.57774394,Chequered Skipper
828,NN0248,Present,202500,748500,-5.217759214,56.5867136,Chequered Skipper
831,NN0278,Present,202500,778500,-5.24084539,56.85579406,Chequered Skipper
832,NN0279,Present,202500,779500,-5.241621862,56.8647631,Chequered Skipper
833,NN0280,Present,202500,780500,-5.242398786,56.87373212,Chequered Skipper
834,NN0282,Present,202500,782500,-5.243953989,56.8916701,Chequered Skipper
836,NN0326,Present,203500,726500,-5.18491007,56.38979342,Chequered Skipper
837,NN0329,Present,203500,729500,-5.187160497,56.41670399,Chequered Skipper
839,NN0332,Present,203500,732500,-5.189414806,56.44361438,Chequered Skipper
840,NN0333,Present,203500,733500,-5.190167107,56.45258447,Chequered Skipper
841,NN0334,Present,203500,734500,-5.19091984,56.46155454,Chequered Skipper
842,NN0335,Present,203500,735500,-5.191673007,56.4705246,Chequered Skipper
843,NN0345,Present,203500,745500,-5.199228568,56.56022404,Chequered Skipper
844,NN0348,Present,203500,748500,-5.20150374,56.58713349,Chequered Skipper
845,NN0349,Present,203500,749500,-5.202263006,56.59610327,Chequered Skipper
848,NN0362,Present,203500,762500,-5.212173473,56.71270859,Chequered Skipper
849,NN0363,Present,203500,763500,-5.212938906,56.72167809,Chequered Skipper
851,NN0369,Present,203500,769500,-5.217540827,56.77549469,Chequered Skipper
854,NN0428,Present,204500,728500,-5.170230331,56.40814878,Chequered Skipper
855,NN0429,Present,204500,729500,-5.170977108,56.41711909,Chequered Skipper
856,NN0435,Present,204500,735500,-5.175466801,56.47094054,Chequered Skipper
857,NN0436,Present,204500,736500,-5.176216591,56.47991071,Chequered Skipper
858,NN0437,Present,204500,737500,-5.176966812,56.48888087,Chequered Skipper
859,NN0448,Present,204500,748500,-5.185247827,56.58755127,Chequered Skipper
860,NN0449,Present,204500,749500,-5.186003254,56.59652119,Chequered Skipper
861,NN0450,Present,204500,750500,-5.186759117,56.60549109,Chequered Skipper
862,NN0469,Present,204500,769500,-5.201203831,56.77591545,Chequered Skipper
863,NN0470,Present,204500,770500,-5.201968488,56.78488496,Chequered Skipper
864,NN0534,Present,205500,734500,-5.158514615,56.46238404,Chequered Skipper
865,NN0535,Present,205500,735500,-5.159260164,56.47135437,Chequered Skipper
866,NN0537,Present,205500,737500,-5.160752551,56.48929498,Chequered Skipper
867,NN0538,Present,205500,738500,-5.161499389,56.49826525,Chequered Skipper
868,NN0539,Present,205500,739500,-5.162246657,56.50723551,Chequered Skipper
869,NN0548,Present,205500,748500,-5.168991479,56.58796692,Chequered Skipper
871,NN0560,Present,205500,760500,-5.178039241,56.69560635,Chequered Skipper
872,NN0570,Present,205500,770500,-5.185627163,56.78530372,Chequered Skipper
873,NN0571,Present,205500,771500,-5.186388375,56.79427335,Chequered Skipper
874,NN0592,Present,205500,792500,-5.202476385,56.98263103,Chequered Skipper
875,NN0635,Present,206500,735500,-5.143053098,56.47176608,Chequered Skipper
876,NN0639,Present,206500,739500,-5.146024333,56.50764778,Chequered Skipper
