,km_sq,nR,Presence
1,NM5664,A,1
4,NM6356,A,2
5,NM6460,A,1
6,NM6551,A,1
7,NM6577,A,3
8,NM6651,A,1
11,NM6785,A,9
12,NM6864,A,2
13,NM6865,A,6
14,NM6867,A,1
15,NM6869,A,1
16,NM6872,A,2
17,NM6885,A,1
18,NM6950,A,2
23,NM6984,A,1
25,NM7051,A,1
26,NM7064,A,1
27,NM7085,A,2
28,NM7151,A,2
29,NM7152,A,2
30,NM7167,A,2
31,NM7170,A,1
32,NM7178,A,1
34,NM7264,A,1
37,NM7284,A,20
38,NM7285,A,1
40,NM7462,A,8
42,NM7568,A,2
44,NM7669,A,1
45,NM7682,A,6
46,NM7754,A,1
47,NM7771,A,4
49,NM7861,A,1
52,NM7871,A,2
57,NM7971,A,4
58,NM7982,A,1
59,NM8047,A,1
60,NM8062,A,1
62,NM8082,A,3
66,NM8161,A,4
71,NM8353,A,1
76,NM8461,A,4
79,NM8481,A,4
80,NM8581,A,4
81,NM8681,A,1
82,NM8761,A,1
85,NM8980,A,2
86,NM8981,A,12
90,NM9080,A,10
92,NM9129,A,2
93,NM9130,A,1
94,NM9136,A,1
98,NM9181,A,2
99,NM9182,A,6
101,NM9244,A,7
102,NM9247,A,1
103,NM9258,A,1
105,NM9331,A,1
106,NM9340,A,1
108,NM9364,A,5
109,NM9365,A,5
111,NM9463,A,5
112,NM9464,A,5
113,NM9531,A,1
114,NM9532,A,1
115,NM9533,A,3
119,NM9563,A,5
120,NM9631,A,1
126,NM9679,A,2
127,NM9680,A,2
128,NM9689,A,10
129,NM9690,A,1
130,NM9692,A,1
132,NM9738,A,2
137,NM9762,A,7
138,NM9763,A,1
139,NM9782,A,1
149,NM9862,A,1
151,NM9928,A,5
152,NM9929,A,5
154,NM9931,A,1
156,NM9933,A,2
163,NN0027,A,1
164,NN0028,A,5
165,NN0030,A,1
166,NN0031,A,1
167,NN0034,A,2
168,NN0044,A,4
171,NN0056,A,1
174,NN0129,A,7
175,NN0133,A,1
176,NN0146,A,1
178,NN0178,A,3
180,NN0181,A,1
181,NN0230,A,5
183,NN0246,A,2
184,NN0247,A,1
185,NN0248,A,3
186,NN0278,A,3
189,NN0282,A,6
190,NN0326,A,5
191,NN0329,A,1
192,NN0332,A,1
193,NN0333,A,8
196,NN0345,A,1
199,NN0362,A,5
201,NN0369,A,1
202,NN0428,A,1
203,NN0429,A,1
206,NN0437,A,2
210,NN0469,A,1
217,NN0548,A,3
218,NN0560,A,1
220,NN0571,A,1
222,NN0635,A,3
226,NN0723,A,1
227,NN0736,A,1
229,NN0759,A,1
230,NN0777,A,1
231,NN0778,A,3
236,NN0841,A,2
237,NN0860,A,1
238,NN0870,A,2
239,NN0871,A,1
241,NN0878,A,3
243,NN0941,A,1
246,NN0960,A,3
247,NN0970,A,1
249,NN0977,A,1
250,NN0978,A,1
251,NN0983,A,1
253,NN1036,A,1
258,NN1076,A,2
265,NN1164,A,1
268,NN1184,A,1
276,NN1276,A,4
277,NN1277,A,1
280,NN1292,A,1
281,NN1345,A,2
284,NN1371,A,10
286,NN1377,A,1
287,NN1378,A,2
288,NN1379,A,2
289,NN1382,A,1
291,NN1390,A,1
292,NN1446,A,14
294,NN1448,A,2
296,NN1462,A,2
299,NN1477,A,1
300,NN1481,A,1
302,NN1489,A,1
303,NN1490,A,4
304,NN1491,A,2
305,NN1549,A,6
307,NN1551,A,2
311,NN1580,A,2
312,NN1589,A,2
313,NN1650,A,2
316,NN1668,A,1
317,NN1669,A,7
319,NN1681,A,5
321,NN1683,A,3
323,NN1741,A,1
325,NN1768,A,1
326,NN1784,A,1
327,NN1851,A,7
328,NN1868,A,1
329,NN1885,A,5
331,NN1951,A,1
332,NN1962,A,2
333,NN1987,A,2
334,NN2078,A,4
335,NN2079,A,1
336,NN2080,A,3
338,NN2178,A,4
339,NN2179,A,1
341,NN2379,A,3
343,NN2382,A,1
344,NN2479,A,1
346,NN2580,A,7
347,NN2780,A,1
349,NN2798,A,1
352,NN3578,A,4
353,NN3679,A,2
3,NM6061,B,4
10,NM6774,B,4
22,NM6966,B,15
35,NM7269,B,3
36,NM7272,B,3
43,NM7569,B,8
48,NM7849,B,4
61,NM8067,B,5
67,NM8167,B,2
69,NM8260,B,2
75,NM8453,B,3
83,NM8782,B,4
84,NM8942,B,11
95,NM9146,B,4
96,NM9179,B,5
97,NM9180,B,3
107,NM9344,B,3
116,NM9544,B,2
121,NM9632,B,8
125,NM9663,B,2
131,NM9733,B,4
133,NM9739,B,7
135,NM9745,B,2
136,NM9753,B,18
140,NM9791,B,9
141,NM9792,B,6
142,NM9830,B,6
144,NM9833,B,4
145,NM9835,B,2
148,NM9853,B,5
150,NM9891,B,14
153,NM9930,B,4
158,NM9944,B,2
161,NM9991,B,3
162,NM9992,B,4
177,NN0147,B,6
195,NN0335,B,12
200,NN0363,B,15
204,NN0435,B,13
211,NN0470,B,3
213,NN0535,B,6
223,NN0639,B,15
225,NN0672,B,5
242,NN0891,B,18
254,NN1043,B,10
256,NN1045,B,13
257,NN1058,B,5
261,NN1145,B,3
264,NN1161,B,3
270,NN1245,B,5
271,NN1246,B,3
274,NN1271,B,2
293,NN1447,B,3
295,NN1449,B,14
306,NN1550,B,20
314,NN1651,B,5
320,NN1682,B,15
322,NN1689,B,6
324,NN1751,B,16
330,NN1889,B,3
337,NN2081,B,5
348,NN2781,B,15
351,NN2980,B,5
2,NM5961,B,4
19,NM6951,B,3
24,NM7050,B,4
51,NM7869,B,12
53,NM7883,B,9
68,NM8246,B,4
91,NM9081,B,9
100,NM9243,B,5
117,NM9545,B,7
118,NM9560,B,9
122,NM9633,B,17
124,NM9661,B,6
143,NM9832,B,21
155,NM9932,B,6
157,NM9943,B,48
160,NM9946,B,8
172,NN0092,B,7
173,NN0127,B,7
182,NN0233,B,7
187,NN0279,B,11
188,NN0280,B,12
194,NN0334,B,18
205,NN0436,B,21
221,NN0592,B,17
233,NN0792,B,28
234,NN0837,B,16
240,NN0877,B,65
244,NN0942,B,20
245,NN0943,B,11
262,NN1157,B,5
273,NN1261,B,9
282,NN1346,B,17
283,NN1361,B,15
310,NN1577,B,7
54,NM7967,B,10
87,NM9041,B,15
89,NM9079,B,31
179,NN0179,B,11
212,NN0534,B,9
232,NN0791,B,21
272,NN1256,B,4
275,NN1273,B,5
308,NN1562,B,24
315,NN1662,B,14
318,NN1678,B,14
350,NN2880,B,14
20,NM6964,B,18
33,NM7185,B,30
41,NM7561,B,24
50,NM7868,B,6
64,NM8146,B,6
88,NM9042,B,21
170,NN0046,B,21
198,NN0349,B,57
219,NN0570,B,15
252,NN0984,B,20
255,NN1044,B,16
263,NN1158,B,29
266,NN1173,B,12
267,NN1183,B,7
285,NN1375,B,14
297,NN1468,B,37
298,NN1476,B,9
301,NN1482,B,16
309,NN1568,B,21
9,NM6773,B,13
21,NM6965,B,17
63,NM8145,B,36
65,NM8147,B,13
146,NM9844,B,18
207,NN0448,B,46
248,NN0971,B,15
340,NN2281,B,33
342,NN2381,B,60
56,NM7969,B,13
123,NM9644,B,30
197,NN0348,B,23
278,NN1283,B,35
345,NN2481,B,28
208,NN0449,B,282
209,NN0450,B,85
235,NN0840,B,9
269,NN1191,B,11
290,NN1383,B,24
39,NM7461,C,45
77,NM8464,C,26
110,NM9380,C,51
214,NN0537,C,41
55,NM7968,C,66
228,NN0740,C,62
259,NN1084,C,66
134,NM9744,C,41
147,NM9845,C,120
216,NN0539,C,50
70,NM8263,C,79
104,NM9279,C,82
224,NN0640,C,102
72,NM8363,C,53
215,NN0538,C,69
73,NM8364,C,53
260,NN1091,C,179
78,NM8473,C,208
74,NM8373,C,262
279,NN1291,C,205
159,NM9945,C,633
169,NN0045,C,1364
