,ID,X,Y,species,adults
35,81,-4.827827355,56.89414865,Chequered Skipper,Absent
38,84,-5.546327603,56.7112784,Chequered Skipper,Absent
39,85,-5.436501004,56.86898706,Chequered Skipper,Absent
40,86,-5.621258632,56.75946897,Chequered Skipper,Absent
41,87,-5.619453609,56.75772329,Chequered Skipper,Absent
42,88,-5.700835042,56.70318317,Chequered Skipper,Absent
43,89,-5.678597376,56.69305333,Chequered Skipper,Absent
44,90,-5.566283976,56.74936753,Chequered Skipper,Absent
45,91,-5.612924685,56.75791286,Chequered Skipper,Absent
46,92,-5.610775544,56.75258077,Chequered Skipper,Absent
47,93,-5.609057434,56.7517315,Chequered Skipper,Absent
48,94,-5.580629751,56.74535964,Chequered Skipper,Absent
49,95,-5.567745732,56.74752755,Chequered Skipper,Absent
52,499,-5.756049051,56.67500421,Chequered Skipper,Absent
60,507,-5.122083322,56.97612534,Chequered Skipper,Absent
61,508,-5.094009546,56.97502562,Chequered Skipper,Absent
63,510,-5.531228734,56.80296017,Chequered Skipper,Absent
64,511,-5.539960713,56.72179868,Chequered Skipper,Absent
71,518,-5.217144954,56.8568569,Chequered Skipper,Absent
78,525,-5.769122594,56.72406135,Chequered Skipper,Absent
100,547,-5.608628815,56.75578974,Chequered Skipper,Absent
113,1022,-5.668821397,56.693342,Chequered Skipper,Absent
115,1024,-5.614556923,56.7578655,Chequered Skipper,Absent
116,1025,-5.61146478,56.75975335,Chequered Skipper,Absent
139,1093,-5.264201813,56.55853343,Chequered Skipper,Absent
168,1123,-5.244505724,56.86963221,Chequered Skipper,Absent
280,1235,-5.23248169,56.56835253,Chequered Skipper,Absent
281,1236,-5.119581881,56.97573835,Chequered Skipper,Absent
282,1237,-5.120440718,56.97616635,Chequered Skipper,Absent
284,1239,-5.095726632,56.97588197,Chequered Skipper,Absent
287,1242,-5.204901954,56.98211942,Chequered Skipper,Absent
295,1250,-5.681943627,56.69385345,Chequered Skipper,Absent
301,1256,-5.538540944,56.80230326,Chequered Skipper,Absent
302,1257,-5.538540944,56.80230326,Chequered Skipper,Absent
303,1258,-5.538540944,56.80230326,Chequered Skipper,Absent
304,1259,-5.538540944,56.80230326,Chequered Skipper,Absent
305,1260,-5.538540944,56.80230326,Chequered Skipper,Absent
306,1261,-5.538540944,56.80230326,Chequered Skipper,Absent
307,1262,-5.092441358,56.97596328,Chequered Skipper,Absent
308,1263,-5.545832443,56.87941323,Chequered Skipper,Absent
337,1294,-5.292040682,56.55105636,Chequered Skipper,Absent
338,1295,-5.29590528,56.54870642,Chequered Skipper,Absent
343,1300,-5.376288959,56.53755674,Chequered Skipper,Absent
344,1301,-5.3620224,56.55097934,Chequered Skipper,Absent
349,1306,-5.23248169,56.56835253,Chequered Skipper,Absent
350,1307,-5.240989139,56.5726256,Chequered Skipper,Absent
351,1308,-5.274410345,56.55421937,Chequered Skipper,Absent
352,1309,-5.114576345,56.49091212,Chequered Skipper,Absent
353,1310,-5.175068706,56.47589488,Chequered Skipper,Absent
354,1311,-5.169682296,56.46974008,Chequered Skipper,Absent
452,1409,-4.900028487,56.8933914,Chequered Skipper,Absent
453,1410,-4.871539762,56.88596069,Chequered Skipper,Absent
454,1411,-5.680314281,56.69390166,Chequered Skipper,Absent
455,1412,-5.620922422,56.77296485,Chequered Skipper,Absent
456,1413,-5.619375946,56.77390886,Chequered Skipper,Absent
457,1414,-5.608462275,56.77961988,Chequered Skipper,Absent
458,1415,-5.586110945,56.78565959,Chequered Skipper,Absent
461,1418,-5.250277763,56.86049277,Chequered Skipper,Absent
462,1419,-5.06146699,56.86931285,Chequered Skipper,Absent
463,1420,-5.042899193,56.84280136,Chequered Skipper,Absent
471,1428,-5.093935099,56.97412861,Chequered Skipper,Absent
472,1429,-5.093935099,56.97412861,Chequered Skipper,Absent
475,1432,-5.092292539,56.97416925,Chequered Skipper,Absent
476,1433,-5.092292539,56.97416925,Chequered Skipper,Absent
477,1434,-5.090798715,56.97600391,Chequered Skipper,Absent
512,1469,-5.375024782,56.86077639,Chequered Skipper,Absent
537,1494,-4.990984741,56.77799204,Chequered Skipper,Absent
573,1530,-5.098778217,56.53625301,Chequered Skipper,Absent
576,1533,-5.188903382,56.46655059,Chequered Skipper,Absent
577,1534,-5.263196489,56.55631246,Chequered Skipper,Absent
595,1552,-5.098778217,56.53625301,Chequered Skipper,Absent
598,1555,-5.264201813,56.55853343,Chequered Skipper,Absent
603,1560,-5.763533374,56.83976869,Chequered Skipper,Absent
604,1561,-5.763713527,56.8415615,Chequered Skipper,Absent
729,1686,-5.371950385,56.89951511,Chequered Skipper,Absent
730,1687,-5.680226688,56.69300515,Chequered Skipper,Absent
736,1693,-4.899034973,56.89116747,Chequered Skipper,Absent
737,1694,-5.092441358,56.97596328,Chequered Skipper,Absent
738,1695,-5.194680983,56.59315215,Chequered Skipper,Absent
752,1709,-5.401983822,56.52471863,Chequered Skipper,Absent
753,1710,-5.409558052,56.54563763,Chequered Skipper,Absent
815,1772,-5.255813721,56.86753984,Chequered Skipper,Absent
816,1773,-5.252148819,56.86314079,Chequered Skipper,Absent
817,1774,-5.25035563,56.86138966,Chequered Skipper,Absent
818,1775,-5.25035563,56.86138966,Chequered Skipper,Absent
819,1776,-5.25035563,56.86138966,Chequered Skipper,Absent
820,1777,-5.07452213,56.79843095,Chequered Skipper,Absent
821,1778,-5.072740346,56.79667714,Chequered Skipper,Absent
822,1779,-5.031094194,56.84893127,Chequered Skipper,Absent
823,1780,-5.032731359,56.84889148,Chequered Skipper,Absent
824,1781,-5.222365348,56.86031784,Chequered Skipper,Absent
825,1782,-5.222365348,56.86031784,Chequered Skipper,Absent
826,1783,-5.683923698,56.69739126,Chequered Skipper,Absent
827,1784,-5.815395439,56.80132736,Chequered Skipper,Absent
828,1785,-5.712141046,56.78466559,Chequered Skipper,Absent
833,1790,-5.118948214,56.97800133,Chequered Skipper,Absent
847,1804,-5.201203831,56.77591545,Chequered Skipper,Absent
848,1805,-5.192866408,56.78377011,Chequered Skipper,Absent
849,1806,-5.183366042,56.78760877,Chequered Skipper,Absent
851,1808,-5.396759504,56.85614112,Chequered Skipper,Absent
852,1809,-5.315245062,56.72304122,Chequered Skipper,Absent
853,1810,-5.717095376,56.71888259,Chequered Skipper,Absent
854,1811,-5.610075795,56.69416131,Chequered Skipper,Absent
855,1812,-5.569761955,56.69981975,Chequered Skipper,Absent
857,1814,-5.118948214,56.97800133,Chequered Skipper,Absent
859,1816,-5.436501004,56.86898706,Chequered Skipper,Absent
860,1817,-5.061688694,56.90211566,Chequered Skipper,Absent
861,1818,-5.048009248,56.9055963,Chequered Skipper,Absent
862,1819,-4.984091819,56.77366306,Chequered Skipper,Absent
871,1828,-5.057454302,56.95075734,Chequered Skipper,Absent
892,1849,-5.42750352,56.89620418,Chequered Skipper,Absent
895,1852,-5.252212428,56.56109535,Chequered Skipper,Absent
896,1853,-5.253605614,56.558362,Chequered Skipper,Absent
909,1866,-5.260179798,56.55908856,Chequered Skipper,Absent
1007,1964,-5.037861313,56.89191147,Chequered Skipper,Absent
1008,1965,-5.260179798,56.55908856,Chequered Skipper,Absent
1009,1966,-5.130028955,56.91390436,Chequered Skipper,Absent
1010,1967,-5.086729226,56.97655389,Chequered Skipper,Absent
1011,1968,-5.714093099,56.8871054,Chequered Skipper,Absent
1020,1977,-4.899889357,56.89159703,Chequered Skipper,Absent
1021,1978,-5.49187095,56.88183391,Chequered Skipper,Absent
1177,2134,-5.217213421,56.58987402,Chequered Skipper,Absent
1201,2158,-5.251050081,56.56651951,Chequered Skipper,Absent
1241,2198,-5.539960713,56.72179868,Chequered Skipper,Absent
1243,2200,-5.539960713,56.72179868,Chequered Skipper,Absent
1249,2206,-5.046056436,56.89171179,Chequered Skipper,Absent
1250,2207,-5.118948214,56.97800133,Chequered Skipper,Absent
1252,2209,-5.543320104,56.7140612,Chequered Skipper,Absent
1253,2210,-5.025910313,56.90658317,Chequered Skipper,Absent
1254,2211,-5.274371517,56.86390799,Chequered Skipper,Absent
1255,2212,-5.287777576,56.85771236,Chequered Skipper,Absent
1256,2213,-5.045513269,56.90520778,Chequered Skipper,Absent
1257,2214,-5.111990269,56.91435517,Chequered Skipper,Absent
1258,2215,-5.149253338,56.90802774,Chequered Skipper,Absent
1259,2216,-5.144711996,56.9126366,Chequered Skipper,Absent
