"","fid","GridRef","Records","Abundance","Richness","FirstYear","LastYear","Taxa","easting","northing"
"12",12,"NM9932",34,47,1,1980,2016,NA,199000,732000
"15",15,"NR7099",8,8,1,1981,2002,NA,170000,699000
"16",16,"NR7080",23,91,1,1981,2008,NA,170000,680000
"17",17,"NM7232",54,72,1,1982,2016,NA,172000,732000
"18",18,"NR6979",17,59,1,1982,2008,NA,169000,679000
"21",21,"NR7181",3,3,1,1983,2008,NA,171000,681000
"22",22,"NR7081",22,97,1,1983,2016,NA,170000,681000
"23",23,"NM7903",2,2,1,1984,2007,NA,179000,703000
"27",27,"NR8093",4,4,1,1984,2013,NA,180000,693000
"30",30,"NM8725",5,5,1,1984,2015,NA,187000,725000
"32",32,"NM9830",22,47,1,1984,2015,NA,198000,730000
"33",33,"NM7514",11,12,1,1984,2017,NA,175000,714000
"36",36,"NR7285",13,36,1,1984,2008,NA,172000,685000
"38",38,"NM8107",2,2,1,1984,2007,NA,181000,707000
"40",40,"NR6980",2,7,1,1985,2005,NA,169000,680000
"42",42,"NR7283",80,854,1,1985,2016,NA,172000,683000
"43",43,"NR7284",15,18,1,1985,2008,NA,172000,684000
"44",44,"NR7384",29,124,1,1985,2015,NA,173000,684000
"45",45,"NR7385",10,32,1,1985,2008,NA,173000,685000
"47",47,"NR2772",2,2,1,1987,2009,NA,127000,672000
"48",48,"NR2773",2,2,1,1987,2007,NA,127000,673000
"56",56,"NM8423",7,21,1,1990,2016,NA,184000,723000
"57",57,"NR2768",4,9,1,1990,2005,NA,127000,668000
"62",62,"NM7614",15,25,1,1990,2017,NA,176000,714000
"64",64,"NM9342",9,10,1,1991,2008,NA,193000,742000
"76",76,"NR7282",14,59,1,1991,2016,NA,172000,682000
"77",77,"NM9140",63,169,1,1992,2017,NA,191000,740000
"78",78,"NR1752",5,6,1,1992,2007,NA,117000,652000
"80",80,"NM9633",19,25,1,1993,2017,NA,196000,733000
"83",83,"NM9831",7,8,1,1993,2013,NA,198000,731000
"84",84,"NM8942",13,60,1,1993,2012,NA,189000,742000
"85",85,"NR2965",6,6,1,1994,2001,NA,129000,665000
"86",86,"NR1751",11,11,1,1994,2007,NA,117000,651000
"88",88,"NR2562",11,11,1,1994,2007,NA,125000,662000
"91",91,"NR7383",9,12,1,1994,2010,NA,173000,683000
"93",93,"NM7432",37,67,1,1995,2015,NA,174000,732000
"94",94,"NM7615",11,23,1,1995,2017,NA,176000,715000
"95",95,"NR2769",67,315,1,1995,2013,NA,127000,669000
"96",96,"NR7079",17,78,1,1995,2008,NA,170000,679000
"98",98,"NR2269",4,4,1,1995,2007,NA,122000,669000
"99",99,"NR2872",4,4,1,1995,2013,NA,128000,672000
"101",101,"NR3373",5,5,1,1995,2003,NA,133000,673000
"102",102,"NM7333",29,59,1,1995,2014,NA,173000,733000
"103",103,"NR3386",9,18,1,1996,2002,NA,133000,686000
"104",104,"NR6899",6,34,1,1996,2002,NA,168000,699000
"105",105,"NR6185",6,6,1,1996,2002,NA,161000,685000
"109",109,"NR6996",16,24,1,1996,2002,NA,169000,696000
"113",113,"NR7097",10,30,1,1996,2002,NA,170000,697000
"115",115,"NR7096",6,6,1,1996,2002,NA,170000,696000
"116",116,"NR6894",6,6,1,1996,2002,NA,168000,694000
"117",117,"NR6895",6,6,1,1996,2002,NA,168000,695000
"120",120,"NR4469",6,11,1,1996,2015,NA,144000,669000
"129",129,"NR3689",5,5,1,1996,2016,NA,136000,689000
"132",132,"NM7031",12,12,1,1997,2015,NA,170000,731000
"133",133,"NM7332",14,14,1,1997,2002,NA,173000,732000
"134",134,"NM8240",4,4,1,1997,2013,NA,182000,740000
"135",135,"NM8441",16,111,1,1997,2007,NA,184000,741000
"136",136,"NM5146",19,19,1,1997,2011,NA,151000,746000
"137",137,"NM6829",2,2,1,1997,2010,NA,168000,729000
"138",138,"NM5147",5,6,1,1997,2008,NA,151000,747000
"140",140,"NM8339",5,6,1,1997,2013,NA,183000,739000
"141",141,"NM7131",7,7,1,1997,2014,NA,171000,731000
"142",142,"NM7902",3,3,1,1997,2007,NA,179000,702000
"144",144,"NM9041",6,9,1,1997,2015,NA,190000,741000
"145",145,"NR7387",3,3,1,1997,2008,NA,173000,687000
"147",147,"NM7433",15,27,1,1997,2014,NA,174000,733000
"148",148,"NR2170",2,3,1,1997,2007,NA,121000,670000
"150",150,"NR4552",3,4,1,1997,2002,NA,145000,652000
"151",151,"NR2066",3,8,1,1997,2017,NA,120000,666000
"152",152,"NM8627",7,7,1,1997,2012,NA,186000,727000
"157",157,"NR3962",7,7,1,1997,2017,NA,139000,662000
"160",160,"NR4164",3,3,1,1997,2007,NA,141000,664000
"172",172,"NM9146",4,20,1,1997,2010,NA,191000,746000
"173",173,"NM8340",6,8,1,1997,2002,NA,183000,740000
"175",175,"NN0030",21,21,1,1998,2015,NA,2e+05,730000
"176",176,"NR1654",3,3,1,1998,2002,NA,116000,654000
"177",177,"NM7703",4,4,1,1998,2013,NA,177000,703000
"178",178,"NM7803",14,14,1,1998,2009,NA,178000,703000
"182",182,"NR7180",7,27,1,1998,2008,NA,171000,680000
"183",183,"NM7330",2,3,1,1998,2014,NA,173000,730000
"184",184,"NM7328",10,43,1,1998,2016,NA,173000,728000
"185",185,"NM7802",3,4,1,1998,2008,NA,178000,702000
"187",187,"NR1653",25,25,1,1998,2017,NA,116000,653000
"189",189,"NM7430",47,79,1,1998,2016,NA,174000,730000
"198",198,"NR8490",1,1,1,2001,2001,NA,184000,690000
"199",199,"NM3923",33,33,1,2001,2014,NA,139000,723000
"200",200,"NR2871",1,1,1,2001,2001,NA,128000,671000
"201",201,"NR6893",3,3,1,2002,2002,NA,168000,693000
"202",202,"NR6692",2,2,1,2002,2002,NA,166000,692000
"203",203,"NM7804",17,17,1,2002,2009,NA,178000,704000
"204",204,"NR6183",2,2,1,2002,2002,NA,161000,683000
"205",205,"NR8094",21,21,1,2002,2015,NA,180000,694000
"206",206,"NR3359",3,3,1,2002,2003,NA,133000,659000
"207",207,"NM9242",3,3,1,2002,2005,NA,192000,742000
"208",208,"NM4339",2,2,1,2002,2002,NA,143000,739000
"209",209,"NM4439",14,39,1,2002,2014,NA,144000,739000
"210",210,"NR3968",4,4,1,2002,2003,NA,139000,668000
"211",211,"NM8442",3,3,1,2002,2003,NA,184000,742000
"212",212,"NR8796",5,28,1,2002,2007,NA,187000,696000
"213",213,"NM4023",26,74,1,2002,2016,NA,140000,723000
"214",214,"NM7701",9,9,1,2002,2013,NA,177000,701000
"215",215,"NR4553",2,2,1,2002,2002,NA,145000,653000
"216",216,"NM4022",2,2,1,2002,2002,NA,140000,722000
"217",217,"NR8591",3,3,1,2002,2004,NA,185000,691000
"218",218,"NM5445",2,2,1,2003,2011,NA,154000,745000
"219",219,"NR2770",6,6,1,2003,2005,NA,127000,670000
"220",220,"NM8422",36,80,1,2003,2013,NA,184000,722000
"221",221,"NR5063",1,1,1,2004,2004,NA,150000,663000
"222",222,"NR8390",11,11,1,2004,2006,NA,183000,690000
