fid,GridRef,Records,Abundance,Richness,FirstYear,LastYear,Taxa
"1",NS1186,"1","1","1","1857","1857",
"2",NS1777,"1","1","1","1876","1876",
"3",NS3634,"1","1","1","1876","1876",
"4",NJ7327,"4","4","1","1969","1971",
"5",NR7890,"3","3","1","1972","1972",
"6",NR2053,"3","3","1","1972","1984",
"7",NR7891,"1","1","1","1972","1972",
"8",NR6589,"2","2","1","1974","1974",
"9",NX9156,"3","3","1","1974","1974",
"10",NN0046,"3","3","1","1978","1990",
"11",NM8113,"2","2","1","1979","1979",
"12",NM9932,"34","47","1","1980","2016",
"13",NR6588,"1","1","1","1981","1981",
"14",NR7098,"4","4","1","1981","1995",
"15",NR7099,"8","8","1","1981","2002",
"16",NR7080,"23","91","1","1981","2008",
"17",NM7232,"54","72","1","1982","2016",
"18",NR6979,"17","59","1","1982","2008",
"19",NN0325,"1","1","1","1982","1982",
"20",NM9143,"5","15","1","1982","1997",
"21",NR7181,"3","3","1","1983","2008",
"22",NR7081,"22","97","1","1983","2016",
"23",NM7903,"2","2","1","1984","2007",
"24",NR1953,"2","2","1","1984","1984",
"25",NR2159,"7","7","1","1984","1995",
"26",NM8724,"2","2","1","1984","1984",
"27",NR8093,"4","4","1","1984","2013",
"28",NM9136,"1","1","1","1984","1984",
"29",NR7588,"2","2","1","1984","1984",
"30",NM8725,"5","5","1","1984","2015",
"31",NM8939,"3","12","1","1984","1992",
"32",NM9830,"22","47","1","1984","2015",
"33",NM7514,"11","12","1","1984","2017",
"34",NR7183,"4","6","1","1984","1998",
"35",NM8003,"1","1","1","1984","1984",
"36",NR7285,"13","36","1","1984","2008",
"37",NR7386,"3","3","1","1984","1996",
"38",NM8107,"2","2","1","1984","2007",
"39",NM9331,"1","1","1","1985","1985",
"40",NR6980,"2","7","1","1985","2005",
"41",NR3897,"1","1","1","1985","1985",
"42",NR7283,"80","854","1","1985","2016",
"43",NR7284,"15","18","1","1985","2008",
"44",NR7384,"29","124","1","1985","2015",
"45",NR7385,"10","32","1","1985","2008",
"46",NR9593,"1","1","1","1986","1986",
"47",NR2772,"2","2","1","1987","2009",
"48",NR2773,"2","2","1","1987","2007",
"49",NR2371,"2","3","1","1987","1997",
"50",NR2268,"2","2","1","1987","1993",
"51",NR4349,"1","1","1","1988","1988",
"52",NR3071,"1","1","1","1989","1989",
"53",NR8797,"1","1","1","1989","1989",
"54",NN0034,"2","11","1","1990","1990",
"55",NM9835,"2","11","1","1990","1990",
"56",NM8423,"7","21","1","1990","2016",
"57",NR2768,"4","9","1","1990","2005",
"58",NR2257,"7","7","1","1990","1995",
"59",NR8091,"1","1","1","1990","1990",
"60",NN0424,"2","11","1","1990","1990",
"61",NN0120,"2","11","1","1990","1990",
"62",NM7614,"15","25","1","1990","2017",
"63",NR2160,"3","4","1","1991","1998",
"64",NM9342,"9","10","1","1991","2008",
"65",NR2166,"1","1","1","1991","1991",
"66",NR3963,"3","3","1","1991","1997",
"67",NR4163,"3","3","1","1991","1997",
"68",NR7169,"1","1","1","1991","1991",
"69",NM5439,"1","1","1","1991","1991",
"70",NR3961,"3","3","1","1991","1997",
"71",NR2459,"3","3","1","1991","1991",
"72",NR6999,"1","1","1","1991","1991",
"73",NM7000,"1","1","1","1991","1991",
"74",NM6900,"1","1","1","1991","1991",
"75",NM8732,"1","1","1","1991","1991",
"76",NR7282,"14","59","1","1991","2016",
"77",NM9140,"63","169","1","1992","2017",
"78",NR1752,"5","6","1","1992","2007",
"79",NM9042,"5","15","1","1993","1994",
"80",NM9633,"19","25","1","1993","2017",
"81",NR2369,"6","15","1","1993","1995",
"82",NM9436,"2","11","1","1993","1993",
"83",NM9831,"7","8","1","1993","2013",
"84",NM8942,"13","60","1","1993","2012",
"85",NR2965,"6","6","1","1994","2001",
"86",NR1751,"11","11","1","1994","2007",
"87",NR2662,"2","2","1","1994","1994",
"88",NR2562,"11","11","1","1994","2007",
"89",NR2058,"1","1","1","1994","1994",
"90",NR2059,"4","5","1","1994","1997",
"91",NR7383,"9","12","1","1994","2010",
"92",NM9435,"4","14","1","1995","1995",
"93",NM7432,"37","67","1","1995","2015",
"94",NM7615,"11","23","1","1995","2017",
"95",NR2769,"67","315","1","1995","2013",
"96",NR7079,"17","78","1","1995","2008",
"97",NR7078,"4","6","1","1995","1998",
"98",NR2269,"4","4","1","1995","2007",
"99",NR2872,"4","4","1","1995","2013",
"100",NR3256,"3","3","1","1995","1995",
"101",NR3373,"5","5","1","1995","2003",
"102",NM7333,"29","59","1","1995","2014",
"103",NR3386,"9","18","1","1996","2002",
"104",NR6899,"6","34","1","1996","2002",
"105",NR6185,"6","6","1","1996","2002",
"106",NR6285,"8","8","1","1996","1996",
"107",NR6386,"4","4","1","1996","1996",
"108",NR4474,"8","32","1","1996","1996",
"109",NR6996,"16","24","1","1996","2002",
"110",NR4473,"4","8","1","1996","1996",
"111",NR5571,"8","20","1","1996","1996",
"112",NR7062,"8","18","1","1996","1996",
"113",NR7097,"10","30","1","1996","2002",
"114",NR4471,"4","4","1","1996","1996",
"115",NR7096,"6","6","1","1996","2002",
"116",NR6894,"6","6","1","1996","2002",
"117",NR6895,"6","6","1","1996","2002",
"118",NR6794,"4","4","1","1996","1996",
"119",NR5369,"8","44","1","1996","1996",
"120",NR4469,"6","11","1","1996","2015",
"121",NR6690,"8","28","1","1996","1996",
"122",NR4664,"4","4","1","1996","1996",
"123",NR5877,"4","12","1","1996","1996",
"124",NR6182,"8","12","1","1996","1996",
"125",NR6689,"8","20","1","1996","1996",
"126",NR6793,"8","16","1","1996","1996",
"127",NR7065,"8","44","1","1996","1996",
"128",NR6286,"4","4","1","1996","1996",
"129",NR3689,"5","5","1","1996","2016",
"130",NR7996,"1","1","1","1996","1996",
"131",NM8341,"4","4","1","1997","1997",
"132",NM7031,"12","12","1","1997","2015",
"133",NM7332,"14","14","1","1997","2002",
"134",NM8240,"4","4","1","1997","2013",
"135",NM8441,"16","111","1","1997","2007",
"136",NM5146,"19","19","1","1997","2011",
"137",NM6829,"2","2","1","1997","2010",
"138",NM5147,"5","6","1","1997","2008",
"139",NM8643,"3","3","1","1997","1997",
"140",NM8339,"5","6","1","1997","2013",
"141",NM7131,"7","7","1","1997","2014",
"142",NM7902,"3","3","1","1997","2007",
"143",NN0335,"1","2","1","1997","1997",
"144",NM9041,"6","9","1","1997","2015",
"145",NR7387,"3","3","1","1997","2008",
"146",NM9514,"4","4","1","1997","1997",
"147",NM7433,"15","27","1","1997","2014",
"148",NR2170,"2","3","1","1997","2007",
"149",NR2169,"1","2","1","1997","1997",
"150",NR4552,"3","4","1","1997","2002",
"151",NR2066,"3","8","1","1997","2017",
"152",NM8627,"7","7","1","1997","2012",
"153",NM9709,"2","4","1","1997","1997",
"154",NR4064,"2","2","1","1997","1997",
"155",NR3761,"2","2","1","1997","1997",
"156",NR4162,"6","42","1","1997","1997",
"157",NR3962,"7","7","1","1997","2017",
"158",NR3862,"2","2","1","1997","1997",
"159",NR4067,"2","2","1","1997","1997",
"160",NR4164,"3","3","1","1997","2007",
"161",NR4061,"2","2","1","1997","1997",
"162",NR4160,"2","2","1","1997","1997",
"163",NR3762,"2","2","1","1997","1997",
"164",NR3861,"2","2","1","1997","1997",
"165",NR4161,"2","2","1","1997","1997",
"166",NR4262,"2","2","1","1997","1997",
"167",NR4062,"2","2","1","1997","1997",
"168",NR4059,"2","2","1","1997","1997",
"169",NR4158,"2","4","1","1997","1997",
"170",NR3958,"2","2","1","1997","1997",
"171",NR4058,"2","2","1","1997","1997",
"172",NM9146,"4","20","1","1997","2010",
"173",NM8340,"6","8","1","1997","2002",
"174",NM6542,"1","2","1","1998","1998",
"175",NN0030,"21","21","1","1998","2015",
"176",NR1654,"3","3","1","1998","2002",
"177",NM7703,"4","4","1","1998","2013",
"178",NM7803,"14","14","1","1998","2009",
"179",NR1754,"1","1","1","1998","1998",
"180",NR7182,"8","32","1","1998","1998",
"181",NR7185,"2","4","1","1998","1998",
"182",NR7180,"7","27","1","1998","2008",
"183",NM7330,"2","3","1","1998","2014",
"184",NM7328,"10","43","1","1998","2016",
"185",NM7802,"3","4","1","1998","2008",
"186",NR1958,"1","1","1","1998","1998",
"187",NR1653,"25","25","1","1998","2017",
"188",NM8934,"1","1","1","1998","1998",
"189",NM7430,"47","79","1","1998","2016",
"190",NR4173,"2","2","1","1998","1998",
"191",NR9390,"1","1","1","1998","1998",
"192",NR6978,"2","20","1","1998","1998",
"193",NR6977,"2","4","1","1998","1998",
"194",NR7286,"4","8","1","1998","1998",
"195",NR7287,"2","4","1","1998","1998",
"196",NM9142,"1","1","1","1998","1998",
"197",NM9081,"1","1","1","1999","1999",
"198",NR8490,"1","1","1","2001","2001",
"199",NM3923,"33","33","1","2001","2014",
"200",NR2871,"1","1","1","2001","2001",
"201",NR6893,"3","3","1","2002","2002",
"202",NR6692,"2","2","1","2002","2002",
"203",NM7804,"17","17","1","2002","2009",
"204",NR6183,"2","2","1","2002","2002",
"205",NR8094,"21","21","1","2002","2015",
"206",NR3359,"3","3","1","2002","2003",
"207",NM9242,"3","3","1","2002","2005",
"208",NM4339,"2","2","1","2002","2002",
"209",NM4439,"14","39","1","2002","2014",
"210",NR3968,"4","4","1","2002","2003",
"211",NM8442,"3","3","1","2002","2003",
"212",NR8796,"5","28","1","2002","2007",
"213",NM4023,"26","74","1","2002","2016",
"214",NM7701,"9","9","1","2002","2013",
"215",NR4553,"2","2","1","2002","2002",
"216",NM4022,"2","2","1","2002","2002",
"217",NR8591,"3","3","1","2002","2004",
"218",NM5445,"2","2","1","2003","2011",
"219",NR2770,"6","6","1","2003","2005",
"220",NM8422,"36","80","1","2003","2013",
"221",NR5063,"1","1","1","2004","2004",
"222",NR8390,"11","11","1","2004","2006",
"223",NR2660,"2","2","1","2004","2005",
"224",NR1553,"2","2","1","2004","2005",
"225",NR2569,"1","1","1","2004","2004",
"226",NN1256,"2","13","1","2004","2004",
"227",NM9243,"1","2","1","2005","2005",
"228",NM9832,"8","49","1","2005","2008",
"229",NR7791,"1","2","1","2005","2005",
"230",NR7689,"1","70","1","2005","2005",
"231",NM7921,"2","2","1","2005","2005",
"232",NM8303,"1","1","1","2006","2006",
"233",NM8105,"1","1","1","2006","2006",
"234",NM8601,"1","2","1","2006","2006",
"235",NM6830,"6","14","1","2006","2014",
"236",NM8532,"2","2","1","2006","2011",
"237",NR6879,"2","3","1","2006","2016",
"238",NR8190,"1","1","1","2006","2006",
"239",NS0274,"4","16","1","2006","2009",
"240",NM9544,"27","42","1","2006","2012",
"241",NR6653,"1","1","1","2006","2006",
"242",NM8541,"9","22","1","2006","2007",
"243",NM8123,"1","1","1","2007","2007",
"244",NS1152,"3","6","1","2007","2007",
"245",NR2673,"1","1","1","2007","2007",
"246",NR1655,"1","1","1","2007","2007",
"247",NM5630,"5","10","1","2007","2015",
"248",NM8039,"1","1","1","2007","2007",
"249",NM7431,"15","21","1","2007","2014",
"250",NR5471,"4","20","1","2007","2016",
"251",NM6897,"2","6","1","2007","2007",
"252",NM7600,"25","66","1","2007","2013",
"253",NM7700,"4","16","1","2007","2013",
"254",NR8161,"5","9","1","2007","2009",
"255",NM9040,"12","12","1","2007","2017",
"256",NM9644,"1","1","1","2007","2007",
"257",NM8207,"1","1","1","2007","2007",
"258",NR3766,"1","1","1","2007","2007",
"259",NR3877,"1","1","1","2007","2007",
"260",NR3978,"2","2","1","2007","2015",
"261",NR4078,"1","1","1","2007","2007",
"262",NR3673,"1","1","1","2007","2007",
"263",NR3674,"3","3","1","2007","2007",
"264",NR3665,"1","1","1","2007","2007",
"265",NR3776,"1","1","1","2007","2007",
"266",NR3568,"4","4","1","2007","2007",
"267",NR3676,"1","1","1","2007","2007",
"268",NR3574,"1","1","1","2007","2007",
"269",NR3166,"1","1","1","2007","2007",
"270",NR3267,"1","1","1","2007","2007",
"271",NR3467,"1","1","1","2007","2007",
"272",NR3566,"1","1","1","2007","2007",
"273",NR3067,"1","1","1","2007","2007",
"274",NR2764,"1","1","1","2007","2007",
"275",NR2271,"3","3","1","2007","2009",
"276",NR2461,"1","1","1","2007","2007",
"277",NR2672,"1","1","1","2007","2007",
"278",NR2665,"1","1","1","2007","2007",
"279",NR3558,"1","1","1","2007","2007",
"280",NR3346,"1","1","1","2007","2007",
"281",NR3344,"1","1","1","2007","2007",
"282",NR3445,"1","1","1","2007","2007",
"283",NR3044,"2","2","1","2007","2012",
"284",NR3342,"1","1","1","2007","2007",
"285",NR4556,"2","2","1","2007","2007",
"286",NR4655,"1","1","1","2007","2007",
"287",NR4658,"1","1","1","2007","2007",
"288",NR4452,"4","4","1","2007","2007",
"289",NR3867,"1","1","1","2007","2007",
"290",NR3857,"1","1","1","2007","2007",
"291",NR4461,"1","1","1","2007","2007",
"292",NR7599,"9","57","1","2007","2009",
"293",NR7699,"5","53","1","2007","2007",
"294",NR3455,"1","1","1","2007","2007",
"295",NM6800,"1","100","1","2007","2007",
"296",NM6930,"17","19","1","2008","2014",
"297",NM5548,"1","1","1","2008","2008",
"298",NM5448,"2","2","1","2008","2008",
"299",NM5449,"4","4","1","2008","2008",
"300",NM5549,"2","2","1","2008","2008",
"301",NM9030,"1","1","1","2008","2008",
"302",NM8929,"1","2","1","2008","2008",
"303",NM8827,"4","23","1","2008","2016",
"304",NM8828,"2","47","1","2008","2008",
"305",NS0960,"2","2","1","2008","2008",
"306",NR3561,"1","1","1","2008","2008",
"307",NR3345,"1","1","1","2008","2008",
"308",NR3447,"1","1","1","2008","2008",
"309",NR5977,"2","11","1","2008","2008",
"310",NR3351,"1","2","1","2008","2008",
"311",NR3563,"1","1","1","2008","2008",
"312",NM7129,"2","2","1","2008","2008",
"313",NM7702,"10","17","1","2008","2013",
"314",NM7904,"3","3","1","2008","2008",
"315",NR3746,"2","2","1","2008","2008",
"316",NR3646,"4","4","1","2008","2008",
"317",NR3847,"10","10","1","2008","2008",
"318",NM9931,"10","19","1","2008","2013",
