"","km_sq","easting","northing","Presence"
"1","NM8363",183000,763000,0
"2","NM8464",184000,764000,0
"3","NM8364",183000,764000,0
"4","NS0138",201000,638000,0
"5","NS0137",201000,637000,0
"6","NM4784",147000,784000,0
"7","NM4884",148000,784000,0
"8","NR7486",174000,686000,0
"9","NR7283",172000,683000,0
"10","NR7385",173000,685000,0
"11","NR7384",173000,684000,0
"12","NR7284",172000,684000,0
"13","NM7172",171000,772000,0
"14","NM5660",156000,760000,0
"15","NM7384",173000,784000,0
"16","NM7185",171000,785000,0
"17","NM9080",190000,780000,0
"18","NM9081",190000,781000,0
"19","NM8981",189000,781000,0
"20","NN0263",202000,763000,0
"21","NM7433",174000,733000,0
"22","NM5361",153000,761000,0
"23","NM5562",155000,762000,0
"24","NM5262",152000,762000,0
"25","NR1652",116000,652000,0
"26","NG7012",170000,812000,0
"27","NG7115",171000,815000,0
"28","NG6910",169000,810000,0
"29","NG6001",160000,801000,0
"30","NG7201",172000,801000,0
"31","NN0279",202000,779000,0
"32","NM9753",197000,753000,0
"33","NR4173",141000,673000,0
"34","NN0559",205000,759000,0
"35","NM7561",175000,761000,0
"36","NM8263",182000,763000,0
"37","NM5561",155000,761000,0
"38","NM8167",181000,767000,0
"39","NM7968",179000,768000,0
"40","NM6964",169000,764000,0
"41","NM6485",164000,785000,0
"42","NG7215",172000,815000,0
"43","NM4099",140000,799000,0
"44","NG7315",173000,815000,0
"45","NN1157",211000,757000,0
"46","NN1257",212000,757000,0
"47","NN1256",212000,756000,0
"48","NG5414",154000,814000,0
"49","NN1156",211000,756000,0
"50","NM9079",190000,779000,0
"51","NM9179",191000,779000,0
"52","NM9279",192000,779000,0
"53","NM7967",179000,767000,0
"54","NM7869",178000,769000,0
"55","NM7868",178000,768000,0
"56","NM8373",183000,773000,0
"57","NM8473",184000,773000,0
"58","NM8782",187000,782000,0
"59","NR4970",149000,670000,0
"60","NR2558",125000,658000,0
"61","NR4863",148000,663000,0
"62","NR3546",135000,646000,0
"63","NR3445",134000,645000,0
"64","NR3545",135000,645000,0
"65","NM7308",173000,708000,0
"66","NM7408",174000,708000,0
"67","NS0146",201000,646000,0
"68","NS0136",201000,636000,0
"69","NM9641",196000,741000,0
"70","NM9935",199000,735000,0
"71","NM9142",191000,742000,0
"72","NM3840",138000,740000,0
"73","NM4040",140000,740000,0
"74","NM4038",140000,738000,0
"75","NS3178",231000,678000,0
"76","NS3235",232000,635000,0
"77","NR7556",175000,656000,0
"78","NR7656",176000,656000,0
"79","NR7557",175000,657000,0
"80","NM7435",174000,735000,0
"81","NM8027",180000,727000,0
"82","NM3348",133000,748000,0
"83","NM3120",131000,720000,0
"84","NS2152",221000,652000,0
"85","NS3236",232000,636000,0
"86","NS3237",232000,637000,0
"87","NS2073",220000,673000,0
"88","NS3368",233000,668000,0
"89","NS3083",230000,683000,0
"90","NS3181",231000,681000,0
"91","NN0726",207000,726000,0
"92","NN0827",208000,727000,0
"93","NN0826",208000,726000,0
"94","NM9328",193000,728000,0
"95","NN0030",2e+05,730000,0
"96","NM9945",199000,745000,0
"97","NN0045",2e+05,745000,0
"98","NS3153",231000,653000,0
"99","NS3242",232000,642000,0
"100","NN2727",227000,727000,0
"101","NS1967",219000,667000,0
"102","NN0450",204000,750000,0
"103","NS1754",217000,654000,0
"104","NS1858",218000,658000,0
"105","NS2882",228000,682000,0
"106","NN2904",229000,704000,0
"107","NR8590",185000,690000,0
"108","NM5924",159000,724000,0
"109","NR8195",181000,695000,0
"110","NR8194",181000,694000,0
"111","NM7600",176000,7e+05,0
"112","NR7599",175000,699000,0
"113","NR7699",176000,699000,0
"114","NM2943",129000,743000,0
"115","NM2741",127000,741000,0
"116","NM2842",128000,742000,0
"117","NS0045",2e+05,645000,0
"118","NM5169",151000,769000,0
"119","NM5069",150000,769000,0
"120","NM6852",168000,752000,0
"121","NM6851",168000,751000,0
"122","NM6752",167000,752000,0
"123","NN1091",210000,791000,0
"124","NN1291",212000,791000,0
"125","NM7969",179000,769000,0
"126","NN2088",220000,788000,0
"127","NN2481",224000,781000,0
"128","NM5462",154000,762000,0
"129","NM5761",157000,761000,0
"130","NM6863",168000,763000,0
"131","NM5461",154000,761000,0
"132","NM6670",166000,770000,0
"133","NM4469",144000,769000,0
"134","NM5269",152000,769000,0
"135","NN2089",220000,789000,0
"136","NM9380",193000,780000,0
"137","NN0280",202000,780000,0
"138","NN0282",202000,782000,0
"139","NM9182",191000,782000,0
"140","NN1468",214000,768000,0
"141","NM9181",191000,781000,0
"142","NM8581",185000,781000,0
"143","NN1261",212000,761000,0
"144","NN1862",218000,762000,0
"145","NN1481",214000,781000,0
"146","NM5661",156000,761000,0
"147","NM5961",159000,761000,0
"148","NM5963",159000,763000,0
"149","NM9465",194000,765000,0
"150","NM4787",147000,787000,0
"151","NM4786",147000,786000,0
"152","NM4788",147000,788000,0
"153","NM7461",174000,761000,0
"154","NN1577",215000,777000,0
"155","NN1678",216000,778000,0
"156","NN0791",207000,791000,0
"157","NN0891",208000,791000,0
"158","NM8067",180000,767000,0
"159","NN1682",216000,782000,0
"160","NM4167",141000,767000,0
"161","NM6691",166000,791000,0
"162","NM4863",148000,763000,0
"163","NN0871",208000,771000,0
"164","NN0971",209000,771000,0
"165","NN0970",209000,770000,0
"166","NM7071",170000,771000,0
"167","NM7072",170000,772000,0
"168","NM8262",182000,762000,0
"169","NN0792",207000,792000,0
"170","NN1191",211000,791000,0
"171","NN1390",213000,790000,0
"172","NN2795",227000,795000,0
"173","NN1784",217000,784000,0
"174","NN1884",218000,784000,0
"175","NN1883",218000,783000,0
"176","NN1983",219000,783000,0
"177","NN1383",213000,783000,0
"178","NN1382",213000,782000,0
"179","NN1482",214000,782000,0
"180","NN1582",215000,782000,0
"181","NN1476",214000,776000,0
"182","NN2279",222000,779000,0
"183","NH2002",220000,802000,0
"184","NH2402",224000,802000,0
"185","NN1379",213000,779000,0
"186","NN1479",214000,779000,0
"187","NG7016",170000,816000,0
"188","NM9344",193000,744000,0
"189","NM8323",183000,723000,0
"190","NM4527",145000,727000,0
"191","NM8424",184000,724000,0
"192","NM9243",192000,743000,0
"193","NN0120",201000,720000,0
"194","NM7064",170000,764000,0
"195","NM8725",187000,725000,0
"196","NM4045",140000,745000,0
"197","NM8453",184000,753000,0
"198","NM9991",199000,791000,0
"199","NN0425",204000,725000,0
"200","NN0324",203000,724000,0
"201","NM9258",192000,758000,0
"202","NM9143",191000,743000,0
"203","NM4427",144000,727000,0
"204","NM4727",147000,727000,0
"205","NM4338",143000,738000,0
"206","NM4039",140000,739000,0
"207","NN0592",205000,792000,0
"208","NM9663",196000,763000,0
"209","NM7250",172000,750000,0
"210","NM6062",160000,762000,0
"211","NR4654",146000,654000,0
"212","NN0984",209000,784000,0
"213","NR3362",133000,662000,0
"214","NM4885",148000,785000,0
"215","NG3900",139000,8e+05,0
"216","NM4199",141000,799000,0
"217","NN1273",212000,773000,0
"218","NN2179",221000,779000,0
"219","NR4072",140000,672000,0
"220","NR3966",139000,666000,0
"221","NR4651",146000,651000,0
"222","NR3444",134000,644000,0
"223","NR4098",140000,698000,0
"224","NR3894",138000,694000,0
"225","NR2641",126000,641000,0
"226","NR4557",145000,657000,0
"227","NR2163",121000,663000,0
"228","NR3363",133000,663000,0
"229","NR9722",197000,622000,0
"230","NL9841",98000,741000,0
"231","NM0046",1e+05,746000,0
"232","NL9340",93000,740000,0
"233","NL9643",96000,743000,0
"234","NL9742",97000,742000,0
"235","NM0146",101000,746000,0
"236","NM0144",101000,744000,0
"237","NL9842",98000,742000,0
"238","NM0045",1e+05,745000,0
"239","NM0449",104000,749000,0
"240","NN0031",2e+05,731000,0
"241","NM7430",174000,730000,0
"242","NM7131",171000,731000,0
"243","NR3998",139000,698000,0
"244","NR3795",137000,695000,0
"245","NN0102",201000,702000,0
"246","NM4240",142000,740000,0
"247","NM4238",142000,738000,0
"248","NR8295",182000,695000,0
"249","NR6880",168000,680000,0
"250","NR8931",189000,631000,0
"251","NR9133",191000,633000,0
"252","NN0127",201000,727000,0
"253","NM9642",196000,742000,0
"254","NR7789",177000,689000,0
"255","NR7890",178000,690000,0
"256","NM8930",189000,730000,0
"257","NM9128",191000,728000,0
"258","NM9744",197000,744000,0
"259","NN0231",202000,731000,0
"260","NM9045",190000,745000,0
"261","NS0231",202000,631000,0
"262","NM8304",183000,704000,0
"263","NN3328",233000,728000,0
"264","NN0034",2e+05,734000,0
"265","NM8519",185000,719000,0
"266","NM8013",180000,713000,0
"267","NM2841",128000,741000,0
"268","NM9832",198000,732000,0
"269","NM9331",193000,731000,0
"270","NM8942",189000,742000,0
"271","NM9038",190000,738000,0
"272","NM9044",190000,744000,0
"273","NM8418",184000,718000,0
"274","NS3040",230000,640000,0
"275","NL9546",95000,746000,0
"276","NL9642",96000,742000,0
"277","NL9644",96000,744000,0
"278","NL9745",97000,745000,0
"279","NL9845",98000,745000,0
"280","NL9344",93000,744000,0
"281","NL9743",97000,743000,0
"282","NL9346",93000,746000,0
"283","NL9839",98000,739000,0
"284","NL9444",94000,744000,0
"285","NL9646",96000,746000,0
"286","NL9639",96000,739000,0
"287","NM2362",123000,762000,0
"288","NM1654",116000,754000,0
"289","NM2563",125000,763000,0
"290","NM1656",116000,756000,0
"291","NS0230",202000,630000,0
"292","NM4126",141000,726000,0
"293","NR7993",179000,693000,0
"294","NM7024",170000,724000,0
"295","NM9316",193000,716000,0
"296","NM5220",152000,720000,0
"297","NR6821",168000,621000,0
"298","NR6523",165000,623000,0
"299","NR6526",165000,626000,0
"300","NR8140",181000,640000,0
"301","NR7130",171000,630000,0
"302","NR7126",171000,626000,0
"303","NR7027",170000,627000,0
"304","NM9845",198000,745000,0
"305","NN0727",207000,727000,0
"306","NM4357",143000,757000,0
"307","NM4457",144000,757000,0
"308","NM4651",146000,751000,0
"309","NM4748",147000,748000,0
"310","NM4849",148000,749000,0
"311","NM5047",150000,747000,0
"312","NM5146",151000,746000,0
"313","NM4154",141000,754000,0
"314","NM9041",190000,741000,0
"315","NM5056",150000,756000,0
"316","NR8586",185000,686000,0
"317","NM9709",197000,709000,0
"318","NM3941",139000,741000,0
"319","NM3640",136000,740000,0
