"","km_sq","easting","northing","Presence"
"1","NM8363",183500,763500,0
"2","NM8464",184500,764500,0
"3","NM8364",183500,764500,0
"4","NS0138",201500,638500,0
"5","NS0137",201500,637500,0
"6","NM4784",147500,784500,0
"7","NM4884",148500,784500,0
"8","NR7486",174500,686500,0
"9","NR7283",172500,683500,0
"10","NR7385",173500,685500,0
"11","NR7384",173500,684500,0
"12","NR7284",172500,684500,0
"13","NM7172",171500,772500,0
"14","NM5660",156500,760500,0
"15","NM7384",173500,784500,0
"16","NM7185",171500,785500,0
"17","NM9080",190500,780500,0
"18","NM9081",190500,781500,0
"19","NM8981",189500,781500,0
"20","NN0263",202500,763500,0
"21","NM7433",174500,733500,0
"22","NM5361",153500,761500,0
"23","NM5562",155500,762500,0
"24","NM5262",152500,762500,0
"25","NR1652",116500,652500,0
"26","NG7012",170500,812500,0
"27","NG7115",171500,815500,0
"28","NG6910",169500,810500,0
"29","NG6001",160500,801500,0
"30","NG7201",172500,801500,0
"31","NN0279",202500,779500,0
"32","NM9753",197500,753500,0
"33","NR4173",141500,673500,0
"34","NN0559",205500,759500,0
"35","NM7561",175500,761500,0
"36","NM8263",182500,763500,0
"37","NM5561",155500,761500,0
"38","NM8167",181500,767500,0
"39","NM7968",179500,768500,0
"40","NM6964",169500,764500,0
"41","NM6485",164500,785500,0
"42","NG7215",172500,815500,0
"43","NM4099",140500,799500,0
"44","NG7315",173500,815500,0
"45","NN1157",211500,757500,0
"46","NN1257",212500,757500,0
"47","NN1256",212500,756500,0
"48","NG5414",154500,814500,0
"49","NN1156",211500,756500,0
"50","NM9079",190500,779500,0
"51","NM9179",191500,779500,0
"52","NM9279",192500,779500,0
"53","NM7967",179500,767500,0
"54","NM7869",178500,769500,0
"55","NM7868",178500,768500,0
"56","NM8373",183500,773500,0
"57","NM8473",184500,773500,0
"58","NM8782",187500,782500,0
"59","NR4970",149500,670500,0
"60","NR2558",125500,658500,0
"61","NR4863",148500,663500,0
"62","NR3546",135500,646500,0
"63","NR3445",134500,645500,0
"64","NR3545",135500,645500,0
"65","NM7308",173500,708500,0
"66","NM7408",174500,708500,0
"67","NS0146",201500,646500,0
"68","NS0136",201500,636500,0
"69","NM9641",196500,741500,0
"70","NM9935",199500,735500,0
"71","NM9142",191500,742500,0
"72","NM3840",138500,740500,0
"73","NM4040",140500,740500,0
"74","NM4038",140500,738500,0
"75","NS3178",231500,678500,0
"76","NS3235",232500,635500,0
"77","NR7556",175500,656500,0
"78","NR7656",176500,656500,0
"79","NR7557",175500,657500,0
"80","NM7435",174500,735500,0
"81","NM8027",180500,727500,0
"82","NM3348",133500,748500,0
"83","NM3120",131500,720500,0
"84","NS2152",221500,652500,0
"85","NS3236",232500,636500,0
"86","NS3237",232500,637500,0
"87","NS2073",220500,673500,0
